coverage_id,region,coverage_percent,last_updated
26001,West Bengal,95.39,2026-07-02
26002,Bengaluru,64.22,2026-07-06
26003,Kolkata,91.43,2026-07-29
26004,Gujarat,83.04,2026-07-23
26005,Punjab,38.77,2026-08-01
26006,Andhra Pradesh,45.20,2026-07-17
26007,Assam,27.31,2026-08-07
26008,Kerala,78.86,2026-07-04
26009,UP East,63.34,2026-06-29
26010,Jaipur,65.54,2026-07-22
26011,Haryana,40.75,2026-06-14
26012,Rajasthan,59.03,2026-07-24
26013,Odisha,23.67,2026-06-11
26014,Bihar,46.38,2026-07-31
26015,Delhi,76.57,2026-07-08
26016,Karnataka,79.85,2026-06-15
26017,Maharashtra,52.09,2026-06-27
26018,Pune,91.80,2026-07-26
26019,Lucknow,81.88,2026-08-01
26020,MP,41.32,2026-07-26
26021,Tamil Nadu,50.60,2026-07-06
26022,Hyderabad,65.50,2026-07-26
26023,Mumbai,87.17,2026-06-14
26024,UP West,23.11,2026-06-28
26025,Ahmedabad,35.07,2026-08-06
26026,Chennai,44.68,2026-07-31
