device_id,brand,model,imei,fiveg_supported
18001,PulseDevices,Model S1,351148125554265,true
18002,ZenithTel,Model S1,352381583034699,true
18003,BrandX,Model S1,355333725143841,true
18004,NovaMobile,Vision X,354013695323596,false
18005,BrandX,Pro Max,351861113436317,true
18006,NovaMobile,Air 3,350219327446666,false
18007,ZenithTel,Neo 8,358659621262884,true
18008,BrandX,XPhone 5G,359589029434111,false
18009,OrbitCom,XPhone 5G,356944477172335,false
18010,OrbitCom,Edge 12,354863012569504,true
18011,ApexPhone,Neo 8,355920236680933,true
18012,ZenithTel,Edge 12,359677331670797,true
18013,NovaMobile,XPhone 5G,359773133703257,true
18014,BrandX,UltraLite,356263806925501,false
18015,GalaxyTech,Model S1,353019607699163,true
18016,PulseDevices,Neo 8,357822462422417,false
18017,BrandX,Vision X,359825724025994,true
18018,GalaxyTech,XPhone 5G,350281133782403,false
18019,OrbitCom,UltraLite,357341698221999,false
18020,BrandX,Vision X,350823792727469,true
18021,OrbitCom,Air 3,358213079249033,false
18022,BrandX,Vision X,357977017562232,true
18023,OrbitCom,Neo 8,353358904256298,false
18024,OrbitCom,Edge 12,357508060221352,true
18025,ApexPhone,Pro Max,353244205508300,true
18026,BrandX,UltraLite,351535380281976,true
18027,OrbitCom,UltraLite,358396011355108,false
18028,OrbitCom,Edge 12,350306812107843,true
18029,ZenithTel,Neo 8,354760925873844,true
18030,ApexPhone,Edge 12,353189611157242,true
18031,GalaxyTech,Vision X,359342470703192,true
18032,NovaMobile,Model S1,358384068491583,true
18033,ZenithTel,Model S1,351720985614760,true
18034,GalaxyTech,Model S1,358772448320213,false
18035,ZenithTel,Neo 8,353857389529579,false
18036,OrbitCom,Neo 8,359568690087291,true
18037,ApexPhone,Neo 8,352698301451305,false
18038,ApexPhone,XPhone 5G,353915008285325,true
18039,NovaMobile,Air 3,354269073219562,false
18040,ApexPhone,UltraLite,351275707062752,true
18041,ApexPhone,XPhone 5G,352611597716880,false
18042,ApexPhone,Vision X,355715362806918,true
18043,BrandX,XPhone 5G,352099136756187,false
18044,OrbitCom,Pro Max,355767533377901,false
18045,NovaMobile,XPhone 5G,352617303885682,false
18046,NovaMobile,Vision X,353662986418994,true
18047,NovaMobile,Pro Max,353433892070405,true
18048,NovaMobile,Model S1,352082000456733,true
18049,BrandX,Vision X,359085194064578,true
18050,ZenithTel,Pro Max,353816185979929,false
18051,ApexPhone,Vision X,351827163864518,true
18052,PulseDevices,Model S1,359726763735276,false
18053,PulseDevices,Air 3,354562465334068,false
18054,OrbitCom,Model S1,353778335161006,true
18055,NovaMobile,Edge 12,356467630258961,false
18056,NovaMobile,Vision X,354387017218733,true
18057,NovaMobile,Pro Max,355805771550552,true
18058,PulseDevices,Pro Max,356038665316585,true
18059,OrbitCom,Vision X,351221228686092,false
18060,ApexPhone,XPhone 5G,356089821815001,true
18061,GalaxyTech,Model S1,351312895053337,true
18062,ZenithTel,Pro Max,359450296977379,true
18063,PulseDevices,Edge 12,351043443823291,false
18064,BrandX,Pro Max,353718129213508,false
18065,GalaxyTech,XPhone 5G,354502000106132,false
18066,GalaxyTech,Air 3,353717663287167,false
18067,BrandX,Air 3,351169006290689,false
18068,ApexPhone,Pro Max,350597893678300,true
18069,ApexPhone,Neo 8,354063205555172,false
18070,OrbitCom,Edge 12,359116572321713,true
18071,BrandX,Neo 8,357155735673003,false
18072,ApexPhone,Pro Max,351595001479385,false
18073,ZenithTel,Vision X,353872150233526,false
18074,ApexPhone,Air 3,355954722100255,true
18075,ZenithTel,Model S1,355298202689985,true
18076,PulseDevices,UltraLite,352632506756285,false
18077,NovaMobile,Pro Max,350642454227817,true
