registry_id,customer_id,device_id,registered_at
19001,1269,18001,2024-02-19
19002,1707,18029,2026-07-23
19003,1666,18043,2025-12-20
19004,2213,18024,2025-04-28
19005,2514,18003,2023-11-17
19006,2448,18032,2025-02-24
19007,2413,18040,2025-11-21
19008,1553,18063,2025-01-17
19009,2424,18045,2025-08-02
19010,1698,18010,2026-06-24
19011,2535,18075,2026-02-02
19012,2682,18039,2026-05-20
19013,1007,18066,2025-04-24
19014,1324,18059,2024-04-17
19015,1153,18017,2026-06-28
19016,2685,18045,2023-12-03
19017,1126,18032,2025-10-01
19018,2746,18009,2025-11-18
19019,1748,18057,2026-07-14
19020,1543,18009,2025-04-29
19021,2786,18023,2024-02-13
19022,2526,18043,2023-11-24
19023,2415,18015,2025-09-29
19024,1259,18011,2025-04-09
19025,1864,18018,2024-10-21
19026,2080,18047,2025-11-06
19027,1269,18043,2024-08-19
19028,2608,18002,2023-12-31
19029,2614,18039,2024-02-15
19030,1804,18019,2025-04-28
19031,1397,18049,2026-01-26
19032,2601,18020,2024-04-17
19033,2001,18045,2025-09-15
19034,1969,18021,2026-02-01
19035,2184,18029,2024-09-04
19036,1067,18031,2024-01-16
19037,1149,18076,2025-12-23
19038,2786,18054,2026-06-02
19039,1756,18073,2024-04-19
19040,1757,18042,2026-04-07
19041,1296,18041,2024-05-26
19042,1495,18059,2024-11-28
19043,1935,18018,2024-05-20
19044,2267,18051,2024-02-17
19045,2238,18045,2026-07-27
19046,1174,18054,2024-07-21
19047,2221,18017,2025-08-10
19048,2560,18046,2024-09-12
19049,2269,18030,2024-12-19
19050,1803,18043,2025-02-23
19051,1469,18055,2026-03-15
19052,1979,18074,2024-09-12
19053,2076,18036,2025-09-01
19054,1572,18022,2025-02-27
19055,2609,18018,2024-01-06
19056,1815,18071,2025-12-22
19057,2065,18028,2024-04-21
19058,1235,18015,2024-07-29
19059,2734,18025,2024-08-22
19060,2714,18009,2024-02-29
19061,1522,18062,2024-09-03
19062,2720,18072,2023-12-06
19063,2770,18072,2023-12-24
19064,1834,18011,2025-04-12
19065,2106,18027,2024-08-25
19066,2030,18021,2026-01-29
19067,1666,18076,2025-04-23
19068,2223,18023,2024-06-02
19069,1218,18011,2025-12-11
19070,1743,18069,2024-03-22
19071,2588,18070,2026-01-07
19072,1248,18006,2025-06-29
19073,2551,18070,2026-05-26
19074,2359,18007,2025-01-28
19075,1794,18040,2026-07-20
19076,1175,18076,2024-02-28
19077,1403,18046,2025-05-25
19078,1526,18029,2024-11-05
19079,1559,18037,2025-09-02
19080,1119,18042,2025-04-25
19081,2492,18024,2024-01-10
19082,1627,18037,2023-12-26
19083,1885,18002,2026-07-08
19084,2196,18044,2025-02-13
19085,1050,18070,2023-12-29
19086,2198,18020,2025-04-20
19087,1298,18039,2025-07-20
19088,1083,18037,2024-10-28
19089,2433,18069,2024-01-25
19090,1323,18057,2025-12-02
19091,1523,18041,2023-12-06
19092,2773,18068,2025-01-20
19093,1487,18044,2024-09-11
19094,2795,18059,2024-12-02
19095,1632,18019,2025-11-29
19096,1030,18052,2025-12-15
19097,1893,18044,2025-03-05
19098,2404,18011,2024-01-06
19099,2078,18012,2024-06-16
19100,2434,18015,2024-12-18
