escalation_id,ticket_id,escalated_at,level,status
28001,11527,2026-03-29 21:00:00,L1,Closed
28002,12029,2025-11-10 20:00:00,L1,Closed
28003,11357,2026-02-02 20:00:00,L1,Closed
28004,11766,2026-05-27 15:00:00,L3,Open
28005,11662,2026-03-12 19:00:00,L1,Open
28006,11183,2026-01-26 17:00:00,L1,Open
28007,11083,2025-12-08 23:00:00,L1,Open
28008,11105,2026-03-15 19:00:00,L2,Closed
28009,12335,2026-03-02 13:00:00,L1,Open
28010,12202,2026-04-18 23:00:00,L1,Open
28011,12224,2026-01-20 14:00:00,L3,Open
28012,11345,2026-01-28 07:00:00,L3,Open
28013,12147,2025-12-02 20:00:00,L1,Closed
28014,12166,2025-12-01 22:00:00,L2,Open
28015,12195,2026-06-10 14:00:00,L2,Open
28016,11811,2026-03-11 17:00:00,L1,Open
28017,12054,2026-03-10 14:00:00,L2,Open
28018,11863,2026-04-30 19:00:00,L1,Open
28019,12424,2026-03-06 06:00:00,L1,Open
28020,11981,2025-11-04 21:00:00,L2,Closed
28021,12230,2026-07-14 01:00:00,L3,Closed
28022,11897,2026-01-29 18:00:00,L2,Open
28023,12056,2026-06-13 05:00:00,L1,Closed
28024,11263,2026-01-07 06:00:00,L2,Closed
28025,12327,2026-04-08 07:00:00,L2,Open
28026,11794,2025-10-13 00:00:00,L1,Closed
28027,12235,2026-04-24 13:00:00,L1,Closed
28028,12115,2026-07-24 15:00:00,L1,Closed
28029,11799,2026-02-26 20:00:00,L2,Closed
28030,12231,2026-07-30 08:00:00,L1,Open
28031,11805,2025-10-14 09:00:00,L1,Closed
28032,11606,2025-10-30 10:00:00,L2,Open
28033,11433,2025-12-25 13:00:00,L3,Closed
28034,11194,2026-03-08 17:00:00,L1,Closed
28035,11587,2026-04-07 13:00:00,L1,Closed
28036,11837,2025-10-20 22:00:00,L1,Closed
28037,11720,2026-05-20 07:00:00,L2,Closed
28038,11429,2026-06-11 17:00:00,L3,Closed
28039,11732,2025-12-28 04:00:00,L1,Closed
28040,11349,2025-12-27 22:00:00,L1,Closed
28041,11874,2025-11-28 11:00:00,L2,Open
28042,11868,2026-05-05 16:00:00,L1,Closed
28043,11145,2025-12-06 04:00:00,L2,Open
28044,11437,2026-05-20 15:00:00,L1,Closed
28045,12032,2026-03-14 18:00:00,L2,Open
28046,11318,2026-01-09 08:00:00,L1,Closed
28047,11491,2025-11-27 14:00:00,L3,Closed
28048,11151,2025-12-23 19:00:00,L1,Closed
28049,11599,2026-03-02 11:00:00,L3,Closed
28050,12208,2025-12-10 09:00:00,L1,Closed
28051,11033,2026-03-19 23:00:00,L1,Closed
28052,11366,2025-12-26 07:00:00,L2,Closed
28053,11113,2026-06-11 05:00:00,L1,Closed
28054,11598,2026-07-23 23:00:00,L1,Closed
28055,11914,2026-06-14 19:00:00,L2,Closed
28056,12034,2026-02-03 16:00:00,L2,Closed
28057,12197,2025-10-25 15:00:00,L1,Closed
28058,11989,2026-04-29 20:00:00,L1,Open
28059,12419,2026-01-16 07:00:00,L3,Closed
28060,12227,2026-03-18 09:00:00,L1,Closed
28061,11851,2026-05-08 18:00:00,L1,Closed
28062,11963,2026-01-10 13:00:00,L1,Closed
28063,11922,2026-07-28 19:00:00,L1,Open
28064,11653,2026-01-16 04:00:00,L3,Open
28065,11876,2026-07-15 14:00:00,L1,Closed
28066,11795,2025-11-29 17:00:00,L3,Open
28067,11691,2026-04-13 03:00:00,L1,Closed
28068,11121,2026-06-01 18:00:00,L1,Closed
28069,11603,2025-10-23 01:00:00,L1,Open
28070,11639,2026-02-09 12:00:00,L1,Closed
28071,11038,2026-05-11 13:00:00,L1,Closed
28072,11641,2025-10-19 10:00:00,L2,Closed
28073,11160,2026-03-13 06:00:00,L3,Open
28074,12465,2026-06-10 15:00:00,L3,Open
28075,11650,2025-11-28 11:00:00,L1,Closed
28076,11591,2025-11-17 22:00:00,L2,Closed
28077,11684,2026-01-29 17:00:00,L1,Open
28078,11324,2025-11-02 19:00:00,L2,Closed
28079,11558,2026-02-26 07:00:00,L1,Closed
28080,11410,2026-02-17 08:00:00,L1,Closed
28081,11521,2026-04-11 14:00:00,L1,Closed
28082,11034,2026-01-22 11:00:00,L1,Closed
28083,11762,2026-05-31 11:00:00,L2,Closed
28084,12186,2026-04-25 20:00:00,L1,Closed
28085,12418,2026-04-07 20:00:00,L2,Open
28086,11698,2025-11-10 22:00:00,L1,Closed
28087,12207,2026-03-24 06:00:00,L2,Closed
28088,11355,2025-12-25 21:00:00,L3,Closed
28089,12347,2026-05-28 03:00:00,L2,Closed
28090,12310,2025-12-05 06:00:00,L1,Closed
28091,12205,2026-07-09 02:00:00,L1,Closed
28092,12345,2025-10-28 17:00:00,L3,Open
28093,12406,2026-04-16 08:00:00,L3,Closed
28094,11842,2026-06-19 22:00:00,L1,Closed
28095,11363,2025-12-28 07:00:00,L1,Closed
28096,11093,2025-11-03 00:00:00,L1,Closed
28097,11864,2025-11-04 14:00:00,L1,Closed
28098,11673,2026-01-11 21:00:00,L2,Closed
28099,12374,2025-12-27 21:00:00,L1,Open
28100,11399,2025-10-17 04:00:00,L2,Closed
28101,11012,2026-03-21 04:00:00,L3,Open
28102,11835,2026-07-03 04:00:00,L1,Closed
28103,12407,2025-10-12 12:00:00,L1,Closed
28104,11335,2026-03-08 17:00:00,L1,Open
28105,12038,2026-04-11 13:00:00,L1,Open
28106,11557,2025-12-26 21:00:00,L1,Open
28107,11130,2026-08-04 14:00:00,L1,Closed
28108,11208,2026-02-21 00:00:00,L2,Open
28109,11362,2026-03-01 01:00:00,L2,Closed
28110,11139,2026-02-20 11:00:00,L1,Closed
28111,12099,2026-01-31 17:00:00,L2,Open
28112,12353,2026-01-02 14:00:00,L1,Closed
28113,11387,2026-07-28 21:00:00,L1,Open
28114,12144,2025-11-28 07:00:00,L1,Closed
28115,11767,2026-06-25 03:00:00,L1,Closed
28116,12155,2025-11-29 03:00:00,L1,Closed
28117,11327,2026-06-21 04:00:00,L3,Open
28118,11421,2025-12-01 23:00:00,L1,Open
28119,12121,2025-10-15 16:00:00,L1,Closed
28120,11202,2026-04-11 22:00:00,L2,Open
28121,12405,2026-04-05 19:00:00,L2,Closed
28122,11371,2026-07-30 20:00:00,L2,Open
28123,11525,2026-03-23 22:00:00,L2,Closed
28124,12176,2026-05-13 02:00:00,L1,Open
28125,11933,2025-12-19 06:00:00,L1,Closed
28126,11161,2026-03-10 12:00:00,L2,Closed
28127,11509,2026-06-20 11:00:00,L2,Open
28128,12314,2026-02-26 23:00:00,L2,Closed
28129,11929,2026-03-04 06:00:00,L2,Open
28130,11458,2025-11-20 23:00:00,L1,Closed
28131,12123,2026-07-09 11:00:00,L3,Closed
28132,12114,2026-03-05 02:00:00,L1,Closed
28133,11181,2025-12-28 06:00:00,L2,Closed
28134,11888,2026-04-24 06:00:00,L2,Closed
28135,11782,2025-11-16 23:00:00,L1,Closed
28136,11111,2025-10-18 04:00:00,L1,Open
28137,11381,2026-06-01 02:00:00,L1,Closed
28138,12270,2025-12-11 21:00:00,L2,Closed
28139,11129,2026-02-09 07:00:00,L1,Closed
28140,11865,2025-11-08 18:00:00,L3,Open
28141,11892,2026-07-27 02:00:00,L1,Closed
28142,12079,2026-07-23 11:00:00,L1,Open
28143,11289,2025-12-21 01:00:00,L3,Open
28144,12048,2026-01-23 09:00:00,L2,Closed
28145,11222,2026-06-27 05:00:00,L3,Open
28146,12381,2026-04-10 22:00:00,L1,Closed
28147,12128,2026-06-01 10:00:00,L3,Closed
28148,11719,2026-07-11 08:00:00,L1,Closed
28149,12041,2026-04-24 16:00:00,L1,Closed
28150,12053,2026-02-27 08:00:00,L3,Closed
28151,11369,2025-11-26 09:00:00,L1,Closed
28152,11485,2025-11-27 10:00:00,L1,Closed
28153,11469,2026-04-18 19:00:00,L1,Closed
28154,11681,2026-04-29 11:00:00,L2,Closed
28155,12248,2026-05-22 18:00:00,L1,Open
28156,12068,2025-12-05 06:00:00,L3,Closed
28157,12100,2026-07-06 06:00:00,L1,Closed
28158,11882,2025-12-30 14:00:00,L2,Closed
28159,12111,2026-05-14 07:00:00,L2,Closed
28160,11176,2025-11-07 09:00:00,L2,Open
28161,12342,2026-05-20 16:00:00,L1,Closed
28162,11852,2026-04-01 21:00:00,L2,Closed
28163,11347,2026-05-16 06:00:00,L2,Closed
28164,11552,2026-01-15 06:00:00,L2,Closed
28165,11995,2026-07-18 22:00:00,L1,Closed
28166,12385,2026-07-23 13:00:00,L2,Open
28167,11912,2025-12-23 05:00:00,L1,Closed
28168,12251,2026-03-30 02:00:00,L1,Open
28169,11789,2025-12-29 05:00:00,L2,Open
28170,11492,2025-10-23 20:00:00,L1,Closed
28171,11581,2026-01-05 15:00:00,L1,Closed
28172,11797,2026-04-03 23:00:00,L2,Open
28173,11793,2025-10-29 16:00:00,L2,Open
28174,12094,2026-03-13 03:00:00,L1,Open
28175,11582,2026-06-26 02:00:00,L2,Closed
28176,11744,2026-04-11 13:00:00,L1,Closed
28177,12000,2025-12-24 12:00:00,L1,Closed
28178,11187,2026-02-18 10:00:00,L2,Open
28179,11597,2026-01-10 17:00:00,L1,Open
28180,12211,2026-05-16 11:00:00,L1,Closed
28181,11686,2026-04-28 18:00:00,L2,Closed
28182,11700,2026-02-14 08:00:00,L2,Closed
28183,11600,2026-07-20 22:00:00,L2,Closed
28184,11529,2026-02-19 09:00:00,L3,Closed
28185,11013,2026-06-10 10:00:00,L2,Closed
28186,11308,2025-12-10 23:00:00,L1,Closed
28187,12061,2026-01-15 18:00:00,L2,Closed
28188,11459,2026-05-03 07:00:00,L3,Closed
28189,11726,2026-03-03 19:00:00,L1,Closed
28190,12026,2026-04-25 15:00:00,L1,Closed
28191,12071,2026-03-17 00:00:00,L1,Open
28192,11219,2026-02-01 04:00:00,L2,Open
28193,12356,2025-11-23 03:00:00,L1,Closed
28194,11772,2026-06-23 21:00:00,L2,Open
28195,11643,2025-11-18 22:00:00,L1,Closed
28196,11133,2025-11-03 09:00:00,L1,Closed
28197,11870,2025-11-14 12:00:00,L2,Closed
28198,12017,2025-11-20 01:00:00,L1,Open
28199,11619,2026-03-22 02:00:00,L1,Closed
28200,11637,2026-06-13 00:00:00,L2,Closed
28201,12288,2025-12-10 17:00:00,L2,Open
28202,11078,2026-06-21 21:00:00,L1,Closed
28203,12316,2026-03-28 19:00:00,L2,Closed
28204,11862,2026-06-07 02:00:00,L2,Closed
28205,12324,2025-10-28 14:00:00,L2,Closed
28206,11714,2026-04-12 23:00:00,L1,Open
28207,11994,2026-02-10 00:00:00,L2,Closed
28208,11624,2026-04-14 22:00:00,L1,Closed
28209,12131,2026-03-17 17:00:00,L2,Closed
28210,11114,2026-03-22 20:00:00,L1,Closed
28211,12047,2026-06-10 22:00:00,L2,Closed
28212,11758,2026-07-05 05:00:00,L2,Closed
28213,11902,2026-01-26 17:00:00,L2,Closed
28214,11329,2026-02-22 06:00:00,L1,Open
28215,11163,2026-04-16 19:00:00,L2,Closed
28216,11818,2025-12-20 05:00:00,L2,Closed
28217,11430,2026-08-04 18:00:00,L1,Open
28218,11671,2025-12-17 09:00:00,L2,Closed
28219,11738,2025-12-11 05:00:00,L3,Open
28220,11674,2025-11-08 05:00:00,L1,Closed
28221,11991,2026-02-08 00:00:00,L1,Closed
28222,12210,2026-05-14 10:00:00,L1,Closed
28223,11513,2025-11-15 15:00:00,L1,Closed
28224,11259,2026-04-08 09:00:00,L2,Closed
28225,11967,2026-04-26 05:00:00,L2,Closed
28226,12454,2026-06-02 02:00:00,L2,Closed
28227,11517,2026-01-02 14:00:00,L2,Closed
28228,11119,2025-10-15 04:00:00,L2,Open
28229,12390,2026-07-15 12:00:00,L2,Open
28230,11859,2026-01-04 12:00:00,L1,Closed
28231,12116,2026-02-19 13:00:00,L3,Closed
28232,11115,2026-02-09 13:00:00,L1,Closed
28233,12033,2026-06-14 01:00:00,L1,Open
28234,12171,2025-12-03 13:00:00,L1,Open
28235,12007,2026-01-15 08:00:00,L2,Closed
28236,11627,2026-04-05 21:00:00,L1,Open
28237,11854,2026-05-13 15:00:00,L1,Closed
28238,11331,2026-01-07 09:00:00,L1,Closed
28239,11436,2026-03-15 09:00:00,L2,Open
28240,11380,2026-01-23 19:00:00,L1,Closed
28241,11484,2026-01-11 16:00:00,L1,Open
28242,11741,2025-12-20 06:00:00,L3,Closed
28243,12375,2026-01-12 23:00:00,L2,Open
28244,11322,2026-06-21 22:00:00,L3,Closed
28245,11337,2026-06-21 05:00:00,L1,Open
28246,11172,2025-10-13 18:00:00,L3,Open
28247,12268,2025-11-14 01:00:00,L2,Open
28248,11011,2026-03-17 07:00:00,L1,Open
28249,11283,2026-03-08 17:00:00,L2,Closed
28250,11323,2026-04-04 14:00:00,L1,Closed
28251,11889,2026-03-20 06:00:00,L1,Closed
28252,12141,2026-07-22 16:00:00,L3,Closed
28253,11309,2025-12-05 18:00:00,L2,Closed
28254,11204,2026-02-21 07:00:00,L1,Closed
28255,12014,2026-04-17 06:00:00,L2,Open
28256,11189,2026-03-01 20:00:00,L2,Closed
28257,11974,2025-12-08 00:00:00,L1,Closed
28258,11801,2025-12-20 00:00:00,L1,Closed
28259,11982,2026-07-07 11:00:00,L1,Open
28260,12368,2026-04-28 18:00:00,L2,Closed
28261,11090,2026-04-27 00:00:00,L1,Open
28262,12438,2026-06-13 06:00:00,L2,Closed
28263,11647,2025-12-12 19:00:00,L2,Open
28264,12355,2026-07-28 22:00:00,L1,Closed
28265,12275,2026-04-01 21:00:00,L1,Closed
28266,11091,2025-12-21 21:00:00,L1,Open
28267,11839,2026-05-25 11:00:00,L1,Closed
28268,11128,2026-04-16 23:00:00,L2,Closed
28269,11959,2026-01-23 22:00:00,L2,Open
28270,11693,2025-12-10 08:00:00,L1,Closed
28271,11193,2025-12-21 01:00:00,L2,Closed
28272,12198,2026-02-17 13:00:00,L1,Closed
28273,11487,2026-08-02 04:00:00,L1,Closed
28274,11580,2026-02-04 12:00:00,L2,Closed
28275,11140,2025-12-22 10:00:00,L1,Closed
28276,12103,2025-11-09 10:00:00,L2,Closed
28277,11419,2025-10-29 21:00:00,L1,Closed
28278,12337,2026-05-23 11:00:00,L2,Closed
28279,11514,2026-08-04 02:00:00,L1,Open
28280,11340,2026-01-27 08:00:00,L1,Closed
28281,11760,2025-11-01 12:00:00,L1,Closed
28282,11997,2026-08-06 12:00:00,L1,Open
28283,12250,2026-02-18 23:00:00,L1,Closed
28284,11477,2026-03-07 01:00:00,L1,Open
28285,12020,2026-02-27 07:00:00,L1,Closed
