profile_id,customer_id,qr_code,activation_status
8001,1935,QR_ZX6BU5T394BVMZKUFI7I,Active
8002,1385,QR_H0AGZE8IUKXFCIK9QDD5,Active
8003,1139,QR_VTKWIY24V7DU92I7KK9T,Active
8004,1635,QR_WW06CB66TKRQAU1MM2LU,Active
8005,2311,QR_BTWIASDDMUL6R39DC3NG,Active
8006,2228,QR_PAID49P6C1LODYOZ19QK,Active
8007,2353,QR_Y5TZKS7IF025IMV7907M,Active
8008,2078,QR_4LZKOIYYPF3TR7WHJ2W4,Active
8009,1347,QR_HZDQ738S46SJBXMKXS4H,Active
8010,1995,QR_UFZPPS3C59IA5L22UVS5,Active
8011,2135,QR_F3NO1FTH6Y64FPJ8B49L,Active
8012,1869,QR_E74N4AXNKFP5JRSEW7KW,Active
8013,2775,QR_WOEGVTD2NZ2CMAJKV96H,Active
8014,2395,QR_HV17X8CK1RUJ60PXNNSE,Active
8015,1225,QR_04YL16G8X6Y0TST3482W,Active
8016,1063,QR_DEN4GC612XFQMPDZ2DM5,Active
8017,1119,QR_PG80AMWUSKW80Q9ANK8W,Active
8018,2159,QR_EOLMWMR3DYT9ZWUL6AFR,Active
8019,1706,QR_OHEOX0EJDQGWWIWU3K5F,Active
8020,1677,QR_SDW8IYCW9KLU3N6RWPKX,Active
8021,1399,QR_E4W474SG3UHY19WMS74R,Active
8022,1891,QR_5JXXGUB0NQ5H73SGPD8Q,Active
8023,1369,QR_9WPNSOLUGLOA01ITRLN0,Active
8024,2537,QR_J8QDMXQI1C0E0YG9BL0L,Active
8025,1221,QR_8IH3LWMLAOJKE3QS27DT,Active
8026,1367,QR_SQK7UQTV7O2Y8VCYYGMS,Active
8027,2768,QR_MQCAROQH23CI416ODOV2,Active
8028,1411,QR_M86B9V5TSP7RJM5Z01X6,Active
8029,2266,QR_SU8U6CWK5U0ZB2BSW8YS,Active
8030,1108,QR_HVVOX6JQ5UU5MUBRI9DS,Active
8031,2647,QR_K75DXD5FSNWY9Y2H92FZ,Active
8032,1055,QR_IEECHC689H5SIIKYLV0C,Inactive
8033,2452,QR_Z59R6LZO9BF7Y0GUSUAH,Inactive
8034,2010,QR_B3P2AQR1BSSWA5T2OYVH,Active
8035,1081,QR_PXYRWKGG52NFL0YI2Z3F,Active
8036,1326,QR_SB0VVQX0N87C17UA6BZN,Active
8037,1618,QR_7B9URJQ15PDZGF8Q8O4T,Active
8038,2515,QR_48PSDIXGCV3TCH9X1PE5,Active
8039,1457,QR_2E58Z4FTUEX11WB30PYZ,Active
8040,2441,QR_78WBMIXVUB9PN79PIJBO,Inactive
8041,1719,QR_MQNON7LW91TB5JQ5H3XW,Active
8042,1348,QR_P5SJ01WB2OS7PA8RC34C,Active
8043,1584,QR_BZOUK4ARKBTJ5X4FTKSR,Active
8044,2032,QR_69YBC9XB2AK5BC35KS0Y,Active
8045,1903,QR_A6EDN17KJAABT3Q47MPK,Active
8046,2712,QR_50WQQBEEDNIZUB6VU36V,Active
8047,2655,QR_NTN5CM0NQTUNQTX45L0O,Active
8048,2194,QR_31E84TZCHC1R7UO053BQ,Active
8049,1230,QR_HNK12W331CWLU39OFZUD,Active
8050,1490,QR_FLDFVGFOEX3P7X332N4C,Active
8051,2220,QR_C1L0BM1C1DP13OQEJRU4,Inactive
8052,1581,QR_H8U2TGT393YTKUMES0BR,Active
8053,1214,QR_N21I8WSX94JBFOS5XX6A,Active
8054,1716,QR_QRZ3Z31U2TLTTN6FSQL6,Active
8055,2221,QR_DLCW8R6HV8LQBON5QJ25,Active
8056,1683,QR_AMUG99TSQRKU9LSMMUV3,Active
8057,1986,QR_2HH03F5WHT3K7WQEXNDM,Active
8058,1855,QR_8S6F8VLYY74EL5MFID9U,Active
8059,1199,QR_DFQKRVD7RW2VEELHHYMO,Active
8060,1975,QR_RFNG1FVE8I6HHVC2ETZP,Active
8061,2796,QR_1O94SKJIY7DFN72EGCUI,Active
8062,1731,QR_0GMBJ0M1UW2V9GNIJSZK,Active
8063,1681,QR_TQHJ3Q4KD8DDHSUQ8RL8,Active
8064,1797,QR_OSJ999YI6JVER7I7AER6,Active
8065,1101,QR_8T6LVGOUBQERA5XOTXBB,Active
8066,2365,QR_MD416L42ESC6S53LN8JL,Active
8067,2083,QR_C62DDVB04GD751CTNX4J,Active
8068,1450,QR_P627DLARBIEZIYTZ5VMY,Active
8069,1404,QR_RULOPAW6549L4USC00PE,Active
8070,1246,QR_IPH1ZPRHZNLE49TIDFZ7,Active
8071,1496,QR_2FK8G27U84B6TM27XV8V,Inactive
8072,2461,QR_S0XHH7FFWVQNAYER10OC,Active
8073,2235,QR_YGQFN33ZAKAKGWHPGC6M,Active
8074,1185,QR_W495F5IDI7NCEZR9II09,Active
8075,1098,QR_JMC7IJQE4NJ1WCDDXRFP,Active
8076,1603,QR_HKAH84WM9P4V68MDWDPD,Active
8077,2197,QR_DC3MSPJAD4NVUVWBD0JH,Active
8078,2678,QR_954OV81YKPEBYDRRO9OK,Inactive
8079,2184,QR_KFFTE76LX5S5E6EU1TL3,Active
8080,1815,QR_YVDG03RCJQD0ROBGEFS9,Active
8081,2201,QR_C2PJJX2B0Y2UG90JHE34,Active
8082,1588,QR_RYW46T9KGQ8ZP0SRAU8D,Active
8083,1629,QR_MZMYRAOK3CAPJLM8N9SD,Active
8084,2569,QR_L7YL2HC4093CFZH4ZFNM,Active
8085,1973,QR_9YP3F1NIC982NHOE1CO8,Active
8086,1988,QR_6XOHYSTNSJADJ09GSF0B,Active
8087,2701,QR_QH2DG8BN0MUN4O1Q35TS,Active
8088,1827,QR_1HVPYS03D0UXGNSRENUI,Active
8089,1488,QR_UPTUTG2C8MUF6BNZUFTX,Active
8090,2064,QR_GF5R8HX5UEZEHG2DV6OY,Active
8091,2718,QR_YDL0U19ORSKBHQXGAP2M,Active
8092,1032,QR_Q72VL4WZUSUHVN9MTFE4,Active
8093,1932,QR_EHRFHBCOGAIZEDS5ZSPR,Active
8094,2358,QR_R5CYS2V338Q4WRCRISFW,Active
8095,1952,QR_YIK196LOQ81PUZ3DKDRH,Active
8096,1914,QR_P0I2OWOSUJUUCZ0EOLG1,Active
8097,1303,QR_K7WIFVA4XAU2XUZDUB22,Active
8098,1239,QR_9I34EXEHJR0VX66WBYIR,Active
8099,1601,QR_QGNH46SA1EOUF6CKGZRP,Active
8100,2236,QR_Z7MHDS51FL9VXOGYRTVU,Inactive
8101,1812,QR_WQYJKMMHZ74WHZCRK6I5,Active
8102,2614,QR_1LVTL0NTO4NTIJA9CEIB,Active
8103,1996,QR_S46DYLBH5WOBJNDN3AMG,Active
8104,1410,QR_TLMR6ILAYQ4PFKT4ITWV,Active
8105,1102,QR_NR1JUYY5AE9I7E4TU3W1,Active
8106,1990,QR_E27ZY1ZQKCVIFWYKJLUC,Active
8107,1592,QR_FXX5594WJL8BN4DK6E79,Active
8108,2773,QR_22CGT4LZHEM71RX8RERJ,Inactive
8109,2333,QR_QC88EI2ZNVCIO864J4YP,Active
8110,2543,QR_XUWV2X4N4VMXP0Z6UTW9,Active
8111,1524,QR_19PLW4ILHBHTKE03VUNH,Active
8112,1004,QR_0IP9L1EFWC8NOGY9IVEH,Active
8113,2327,QR_2TVRVNISXTY88Z60Q0GL,Active
8114,1305,QR_FQ15Z220F2U6OWJXXNIG,Active
8115,1284,QR_QXTJXTH7O4XPWKBLWKEG,Active
8116,1892,QR_9F4Z0ZF8HVERPAW4C9QE,Active
8117,1377,QR_IQQ7B21JZUC3W0J3684E,Active
8118,2149,QR_D22EHJBENTRD95RQPIML,Active
8119,2388,QR_O866G6LKS2E7TF2GQXLI,Active
8120,1401,QR_RT8HC7SHI2OL5QR2PVWC,Active
8121,2795,QR_LGU1K3R2T3VVJ0D23XJU,Active
8122,2702,QR_SDEXT9NJ4V5KLL3NC0YY,Active
8123,1876,QR_NICKSEW15HR6GZY6Z1BV,Active
8124,2704,QR_JL57MEJMTBIJ1UCWKFM5,Inactive
8125,2249,QR_UBXY6KQ32KR9GOZO2GDL,Active
8126,1095,QR_RGBVMP5Q0SG2LOZ1CV15,Active
8127,2383,QR_ZF2CRJ3OAATDW4XQN80D,Active
8128,2349,QR_J0UFQWR35JQD3H4L9WTU,Active
8129,1864,QR_79BCUZZMYLDOXOD0PDF5,Active
8130,2151,QR_1NRIWQ84USC5CQ840MQN,Active
8131,1247,QR_D65LDKM79XSMXC8OMW7C,Active
8132,1610,QR_D3KMOMTBLVC9B3DJJ5IN,Active
8133,1723,QR_KY3SGQCQUONACFSQT74Z,Active
8134,1687,QR_DLOQZRKL5K6UBC1T3NQE,Active
8135,2256,QR_X6ONV88USPIUC3ADBOG2,Active
8136,1103,QR_JJ674C6B62K95NGKCL41,Active
8137,2633,QR_0VYUUR08TLOV5B5ZXV1V,Active
8138,2207,QR_1TDMXQIZMP7UXJ3LD04H,Active
8139,2354,QR_0SHI6NLABCA0SZG1KQSZ,Active
8140,1352,QR_YJLVK5BRLFE0E332P9WL,Active
8141,2206,QR_GDMETV409E4B5LV4JLWO,Active
8142,2486,QR_9AC1DJ8QX4JEIX7LM34A,Active
8143,2145,QR_0TJA58OXCVL5GC7M5JIN,Active
8144,1145,QR_T16KWAQRYH9M4BAFXSZF,Active
