fiber_id,customer_id,installation_date,status,speed_mbps
27001,1402,2025-03-18,Suspended,300
27002,2087,2025-12-02,Active,1000
27003,1338,2024-06-04,Suspended,100
27004,1215,2025-04-23,Active,50
27005,2615,2023-11-25,Active,200
27006,2292,2025-02-19,Active,300
27007,2472,2025-02-18,Active,50
27008,2011,2025-12-13,Active,200
27009,2686,2025-05-30,Active,50
27010,1297,2025-01-25,Active,50
27011,1530,2025-05-08,Active,100
27012,2458,2025-11-24,Active,200
27013,1738,2024-06-10,Active,300
27014,1462,2023-11-28,Active,1000
27015,1863,2025-10-10,Suspended,500
27016,2590,2026-04-30,Active,1000
27017,1622,2026-07-19,Suspended,50
27018,1107,2026-05-01,Active,50
27019,2151,2025-01-24,Active,1000
27020,2178,2025-10-09,Active,1000
27021,2544,2023-11-16,Active,50
27022,2583,2024-01-12,Active,200
27023,1596,2025-11-04,Active,200
27024,2708,2024-01-21,Active,100
27025,2268,2025-11-06,Suspended,500
27026,1518,2026-07-30,Active,500
27027,1799,2025-05-17,Active,50
27028,1676,2025-10-04,Active,100
27029,1664,2026-04-11,Active,1000
27030,1311,2026-02-02,Active,1000
27031,1314,2025-09-07,Active,200
27032,1239,2024-10-09,Suspended,500
27033,1710,2025-02-06,Active,50
27034,2276,2026-02-14,Active,150
27035,1750,2024-08-30,Active,50
27036,1955,2025-01-16,Active,200
27037,1227,2024-02-16,Active,150
27038,1117,2026-02-14,Active,50
27039,2697,2024-01-14,Active,200
27040,1794,2024-10-26,Suspended,500
27041,1976,2024-05-15,Active,100
27042,1501,2024-01-08,Active,100
27043,2571,2026-03-18,Active,200
27044,2207,2025-07-06,Active,200
27045,1360,2024-02-19,Active,150
27046,1471,2024-08-14,Active,200
27047,2211,2026-02-04,Active,50
27048,1070,2024-03-21,Active,300
27049,2664,2025-07-28,Active,200
27050,1204,2023-11-25,Active,150
27051,1395,2024-06-03,Active,500
27052,1769,2025-06-28,Active,150
27053,2023,2024-09-24,Active,300
27054,1761,2025-04-14,Active,100
27055,2327,2025-06-25,Active,200
27056,1021,2026-06-02,Active,150
27057,2083,2024-10-12,Active,500
27058,2341,2025-07-12,Active,300
27059,1731,2024-11-22,Active,50
27060,1049,2024-06-07,Suspended,1000
27061,1193,2024-01-14,Active,300
27062,1914,2025-05-29,Active,500
27063,2680,2026-02-24,Active,50
27064,1694,2024-11-13,Active,150
27065,2275,2024-11-08,Active,500
27066,2116,2026-07-16,Active,50
27067,1612,2025-01-28,Active,150
27068,2216,2025-05-13,Active,100
27069,1355,2025-02-02,Active,50
27070,1366,2026-03-26,Active,100
27071,2176,2025-07-20,Active,1000
27072,2025,2026-03-26,Active,300
27073,1458,2024-04-04,Suspended,200
27074,2005,2025-11-04,Active,300
27075,1427,2025-02-11,Active,1000
27076,2431,2023-11-13,Active,200
27077,1004,2024-06-23,Active,300
27078,2131,2026-03-16,Suspended,100
27079,1333,2024-09-16,Suspended,100
27080,1629,2026-05-21,Active,100
27081,2586,2024-10-25,Active,500
27082,2585,2025-12-23,Active,300
27083,1170,2025-02-20,Active,50
27084,2234,2024-11-22,Active,300
27085,2342,2025-10-18,Active,50
27086,1979,2024-05-10,Active,150
27087,2174,2026-05-15,Active,100
27088,2303,2025-04-05,Active,150
27089,2351,2024-12-11,Active,100
27090,1559,2025-05-22,Active,100
27091,2473,2024-03-27,Active,50
27092,2220,2026-06-01,Active,500
27093,1657,2026-02-26,Active,150
27094,1375,2024-07-27,Active,200
27095,2226,2024-10-30,Active,150
27096,1801,2024-09-06,Active,500
27097,2417,2024-03-05,Suspended,1000
27098,2040,2024-10-03,Active,500
27099,1113,2025-12-23,Active,1000
27100,1195,2025-10-02,Active,200
27101,1433,2026-02-03,Active,150
27102,1291,2024-08-16,Active,300
27103,1992,2024-11-25,Active,100
27104,2489,2023-12-28,Active,150
27105,1018,2025-08-01,Active,50
27106,2621,2024-01-14,Active,300
27107,1253,2024-03-03,Active,150
27108,1859,2026-02-20,Active,1000
27109,1677,2026-06-09,Active,150
27110,2277,2023-11-19,Active,300
27111,2767,2024-11-13,Active,200
27112,1267,2024-04-10,Active,300
27113,2090,2026-03-07,Active,150
27114,2187,2025-02-02,Suspended,100
27115,2674,2025-09-27,Active,1000
27116,2793,2024-07-30,Suspended,50
27117,2460,2024-02-22,Active,200
27118,2539,2025-02-02,Active,300
27119,1486,2026-06-17,Active,300
27120,1288,2026-07-14,Active,1000
27121,2250,2024-10-09,Active,150
27122,1537,2025-10-25,Suspended,150
27123,1888,2025-12-25,Active,200
27124,2384,2024-08-09,Active,100
27125,2003,2025-11-09,Active,100
27126,1870,2025-09-02,Active,100
27127,1379,2025-08-18,Active,50
27128,1822,2024-09-03,Active,300
27129,2763,2026-02-22,Active,150
27130,2318,2024-04-14,Active,1000
27131,2469,2026-01-18,Active,150
27132,2629,2025-05-02,Active,100
27133,1399,2025-05-01,Active,150
27134,1129,2025-07-21,Active,200
27135,1800,2026-07-14,Active,1000
27136,2056,2025-07-11,Active,1000
27137,1393,2024-02-21,Active,100
27138,1908,2024-10-04,Suspended,300
27139,1707,2024-03-09,Active,500
27140,2578,2026-04-23,Suspended,1000
27141,2406,2025-03-16,Active,150
27142,1147,2025-04-09,Active,1000
27143,2334,2025-01-07,Active,300
27144,2688,2025-10-11,Suspended,300
27145,2065,2025-04-17,Active,200
27146,1241,2024-04-23,Active,500
27147,1712,2025-02-22,Suspended,500
27148,2280,2025-12-19,Active,100
27149,2632,2025-10-22,Suspended,50
27150,2316,2023-11-20,Suspended,500
27151,2027,2025-02-22,Suspended,150
27152,2480,2026-02-01,Suspended,200
27153,2304,2024-01-06,Active,300
27154,2530,2025-12-29,Active,500
