case_id,customer_id,case_type,reported_at,status
24001,1597,Identity Theft,2026-07-22 04:00:00,Investigating
24002,2213,Identity Theft,2025-10-26 19:00:00,Resolved
24003,1053,Spam Reports,2025-09-18 22:00:00,Resolved
24004,1385,Phishing,2025-12-12 02:00:00,Resolved
24005,1659,Fake KYC Attempt,2026-02-27 18:00:00,Resolved
24006,2205,Phishing,2025-12-19 20:00:00,Investigating
24007,2457,Phishing,2026-06-04 09:00:00,Resolved
24008,1151,Unauthorized Recharge,2026-06-24 10:00:00,Resolved
24009,2044,Identity Theft,2026-01-11 08:00:00,Resolved
24010,2611,Phishing,2025-10-25 23:00:00,Resolved
24011,1401,Phishing,2026-07-27 06:00:00,Resolved
24012,1946,Phishing,2025-10-12 01:00:00,Resolved
24013,1794,Unauthorized Recharge,2025-10-03 22:00:00,Resolved
24014,1395,Identity Theft,2026-03-25 07:00:00,Resolved
24015,2166,Fake KYC Attempt,2025-11-18 15:00:00,Investigating
24016,2356,Phishing,2026-08-01 18:00:00,Resolved
24017,1363,SIM Swap,2026-06-27 09:00:00,Investigating
24018,1403,SIM Swap,2026-01-17 03:00:00,Investigating
24019,2497,Identity Theft,2026-07-10 21:00:00,Resolved
24020,2437,Fake KYC Attempt,2026-01-10 04:00:00,Resolved
24021,2434,Identity Theft,2026-07-06 23:00:00,Resolved
24022,2071,Spam Reports,2026-06-24 19:00:00,Investigating
24023,1679,Unauthorized Recharge,2026-07-20 23:00:00,Investigating
24024,2540,Fake KYC Attempt,2026-08-05 10:00:00,Resolved
24025,1886,Spam Reports,2026-04-06 21:00:00,Resolved
24026,2303,SIM Swap,2026-03-27 19:00:00,Resolved
24027,2637,Spam Reports,2026-01-05 21:00:00,Investigating
24028,1049,Spam Reports,2026-02-22 05:00:00,Resolved
24029,2053,Identity Theft,2025-12-13 05:00:00,Resolved
24030,2104,Unauthorized Recharge,2025-12-16 22:00:00,Resolved
24031,1948,Spam Reports,2025-10-22 13:00:00,Resolved
24032,1143,Identity Theft,2025-11-10 21:00:00,Resolved
24033,1335,SIM Swap,2025-09-15 04:00:00,Resolved
24034,2596,Identity Theft,2025-10-06 10:00:00,Resolved
24035,1878,SIM Swap,2026-02-05 09:00:00,Resolved
24036,1185,Identity Theft,2026-08-04 20:00:00,Resolved
24037,2254,Fake KYC Attempt,2025-10-11 00:00:00,Resolved
24038,1164,Identity Theft,2026-05-19 21:00:00,Investigating
24039,2270,Spam Reports,2026-06-26 09:00:00,Resolved
24040,2701,Identity Theft,2025-11-02 14:00:00,Investigating
24041,1830,Unauthorized Recharge,2026-01-01 13:00:00,Resolved
24042,1748,Identity Theft,2025-11-04 18:00:00,Investigating
24043,1543,Unauthorized Recharge,2025-08-11 15:00:00,Investigating
24044,2797,SIM Swap,2025-08-19 18:00:00,Resolved
24045,2531,SIM Swap,2025-12-26 11:00:00,Investigating
24046,1890,Unauthorized Recharge,2026-01-30 01:00:00,Investigating
24047,1274,Fake KYC Attempt,2026-02-12 07:00:00,Investigating
24048,1199,Fake KYC Attempt,2026-02-07 13:00:00,Resolved
24049,1092,SIM Swap,2026-06-15 16:00:00,Investigating
24050,2091,Spam Reports,2025-11-08 17:00:00,Investigating
24051,2344,Fake KYC Attempt,2026-07-22 14:00:00,Resolved
24052,1636,Unauthorized Recharge,2026-04-23 19:00:00,Investigating
24053,1202,Phishing,2025-10-12 18:00:00,Resolved
24054,2277,Unauthorized Recharge,2025-11-15 17:00:00,Resolved
24055,1842,Identity Theft,2025-12-27 19:00:00,Investigating
24056,2771,Fake KYC Attempt,2026-07-26 11:00:00,Resolved
24057,2197,Phishing,2026-02-16 23:00:00,Resolved
24058,1019,Unauthorized Recharge,2025-12-02 11:00:00,Resolved
24059,2711,SIM Swap,2026-04-22 10:00:00,Resolved
24060,2630,Spam Reports,2026-03-30 04:00:00,Resolved
24061,1537,Identity Theft,2025-11-09 06:00:00,Resolved
24062,1256,Spam Reports,2025-09-11 10:00:00,Resolved
24063,1629,Identity Theft,2026-02-06 22:00:00,Investigating
24064,1598,Fake KYC Attempt,2026-04-25 04:00:00,Investigating
24065,2526,Identity Theft,2025-08-22 03:00:00,Resolved
24066,2193,SIM Swap,2025-11-19 18:00:00,Investigating
24067,1942,Identity Theft,2025-10-18 01:00:00,Resolved
24068,2115,SIM Swap,2025-11-21 20:00:00,Resolved
24069,1430,Unauthorized Recharge,2026-05-04 11:00:00,Resolved
24070,1852,Phishing,2026-07-01 21:00:00,Resolved
24071,1889,SIM Swap,2026-01-18 18:00:00,Resolved
24072,2753,SIM Swap,2026-05-18 04:00:00,Investigating
24073,2763,Identity Theft,2025-08-11 10:00:00,Investigating
24074,1289,Unauthorized Recharge,2026-05-08 10:00:00,Resolved
24075,2292,Phishing,2026-07-02 13:00:00,Resolved
24076,2509,Phishing,2025-09-23 15:00:00,Resolved
24077,1400,Unauthorized Recharge,2026-03-07 14:00:00,Resolved
24078,1525,Identity Theft,2026-04-27 12:00:00,Resolved
24079,1961,Fake KYC Attempt,2025-09-09 00:00:00,Resolved
24080,1700,SIM Swap,2026-06-29 08:00:00,Resolved
24081,2223,Phishing,2025-08-26 06:00:00,Resolved
24082,2614,Unauthorized Recharge,2026-07-06 21:00:00,Resolved
24083,2644,Phishing,2026-06-06 21:00:00,Resolved
24084,1329,Fake KYC Attempt,2026-04-27 06:00:00,Resolved
24085,1043,Spam Reports,2026-07-10 05:00:00,Investigating
24086,2629,Spam Reports,2026-06-01 07:00:00,Investigating
24087,2737,Fake KYC Attempt,2025-12-14 04:00:00,Resolved
