invoice_id,customer_id,billing_cycle_start,billing_cycle_end,plan_charge,usage_charge,vas_charge,tax_gst,late_fee,total_amount,due_date,payment_status
5001,1001,2026-03-01,2026-03-31,2999.00,38.55,19.00,550.18,0.00,3606.73,2026-04-15,Paid
5002,1001,2026-04-01,2026-04-30,2999.00,19.81,49.00,552.21,0.00,3620.02,2026-05-15,Paid
5003,1001,2026-05-01,2026-05-31,2999.00,5.62,19.00,544.25,22.89,3590.76,2026-06-15,Overdue
5004,1001,2026-06-01,2026-06-30,2999.00,52.78,0.00,549.32,0.00,3601.10,2026-07-15,Paid
5005,1001,2026-07-01,2026-07-31,2999.00,62.98,99.00,568.98,0.00,3729.96,2026-08-15,Unpaid
5006,1001,2026-08-01,2026-08-31,2999.00,52.30,99.00,567.05,0.00,3717.35,2026-09-15,Unpaid
5007,1003,2026-03-01,2026-03-31,899.00,12.84,19.00,167.55,0.00,1098.39,2026-04-15,Paid
5008,1003,2026-04-01,2026-04-30,899.00,82.82,49.00,185.55,0.00,1216.37,2026-05-15,Paid
5009,1003,2026-05-01,2026-05-31,899.00,24.86,0.00,166.29,0.00,1090.15,2026-06-15,Paid
5010,1003,2026-06-01,2026-06-30,899.00,87.39,19.00,180.97,0.00,1186.36,2026-07-15,Paid
5011,1003,2026-07-01,2026-07-31,899.00,4.59,0.00,162.65,0.00,1066.24,2026-08-15,Unpaid
5012,1003,2026-08-01,2026-08-31,899.00,77.07,0.00,175.69,0.00,1151.76,2026-09-15,Paid
5013,1005,2026-03-01,2026-03-31,499.00,17.68,0.00,93.00,0.00,609.68,2026-04-15,Paid
5014,1005,2026-04-01,2026-04-30,499.00,12.75,0.00,92.11,0.00,603.86,2026-05-15,Paid
5015,1005,2026-05-01,2026-05-31,499.00,65.42,19.00,105.02,0.00,688.44,2026-06-15,Unpaid
5016,1005,2026-06-01,2026-06-30,499.00,30.82,49.00,104.19,0.00,683.01,2026-07-15,Paid
5017,1005,2026-07-01,2026-07-31,499.00,29.87,0.00,95.20,0.00,624.07,2026-08-15,Unpaid
5018,1005,2026-08-01,2026-08-31,499.00,99.76,0.00,107.78,0.00,706.54,2026-09-15,Unpaid
5019,1009,2026-03-01,2026-03-31,2999.00,5.74,0.00,540.85,51.32,3596.91,2026-04-15,Overdue
5020,1009,2026-04-01,2026-04-30,2999.00,76.25,0.00,553.54,0.00,3628.79,2026-05-15,Paid
5021,1009,2026-05-01,2026-05-31,2999.00,15.80,29.00,547.88,90.92,3682.60,2026-06-15,Overdue
5022,1009,2026-06-01,2026-06-30,2999.00,11.11,0.00,541.82,0.00,3551.93,2026-07-15,Paid
5023,1009,2026-07-01,2026-07-31,2999.00,1.51,49.00,548.91,0.00,3598.42,2026-08-15,Unpaid
5024,1009,2026-08-01,2026-08-31,2999.00,38.99,0.00,546.84,0.00,3584.83,2026-09-15,Paid
5025,1010,2026-03-01,2026-03-31,479.00,16.89,99.00,107.08,0.00,701.97,2026-04-15,Paid
5026,1010,2026-04-01,2026-04-30,479.00,49.94,49.00,104.03,0.00,681.97,2026-05-15,Paid
5027,1010,2026-05-01,2026-05-31,479.00,65.39,0.00,97.99,0.00,642.38,2026-06-15,Paid
5028,1010,2026-06-01,2026-06-30,479.00,66.41,19.00,101.59,0.00,666.00,2026-07-15,Paid
5029,1010,2026-07-01,2026-07-31,479.00,5.45,0.00,87.20,0.00,571.65,2026-08-15,Paid
5030,1010,2026-08-01,2026-08-31,479.00,72.58,19.00,102.70,0.00,673.28,2026-09-15,Unpaid
5031,1011,2026-03-01,2026-03-31,299.00,13.60,19.00,59.69,0.00,391.29,2026-04-15,Paid
5032,1011,2026-04-01,2026-04-30,299.00,56.54,0.00,64.00,0.00,419.54,2026-05-15,Paid
5033,1011,2026-05-01,2026-05-31,299.00,88.21,99.00,87.52,0.00,573.73,2026-06-15,Paid
5034,1011,2026-06-01,2026-06-30,299.00,95.99,19.00,74.52,0.00,488.51,2026-07-15,Paid
5035,1011,2026-07-01,2026-07-31,299.00,36.71,29.00,65.65,0.00,430.36,2026-08-15,Unpaid
5036,1011,2026-08-01,2026-08-31,299.00,79.27,0.00,68.09,0.00,446.36,2026-09-15,Unpaid
5037,1013,2026-03-01,2026-03-31,149.00,92.93,0.00,43.55,59.97,345.45,2026-04-15,Overdue
5038,1013,2026-04-01,2026-04-30,149.00,78.53,0.00,40.96,97.28,365.77,2026-05-15,Overdue
5039,1013,2026-05-01,2026-05-31,149.00,94.10,0.00,43.76,0.00,286.86,2026-06-15,Paid
