kyc_id,customer_id,kyc_type,status,last_updated
14001,2714,Aadhaar,Pending,2025-07-22
14002,2388,Aadhaar,Expired,2026-06-21
14003,1329,Aadhaar,Complete,2024-10-02
14004,1094,Aadhaar,Complete,2024-12-26
14005,1102,Aadhaar,Complete,2026-04-20
14006,2050,Aadhaar,Complete,2025-10-20
14007,2519,Aadhaar,Complete,2026-04-03
14008,2021,Aadhaar,Complete,2025-10-05
14009,1429,Aadhaar,Pending,2026-03-14
14010,1631,Aadhaar,Complete,2025-12-08
14011,2456,Aadhaar,Complete,2025-05-31
14012,2415,Driving License,Complete,2026-01-13
14013,1104,Aadhaar,Complete,2026-04-21
14014,2697,Aadhaar,Complete,2025-12-13
14015,1820,Aadhaar,Complete,2025-01-12
14016,1016,Aadhaar,Complete,2024-09-13
14017,2105,Passport,Complete,2025-02-22
14018,1301,Aadhaar,Complete,2025-11-11
14019,1762,Aadhaar,Complete,2026-02-25
14020,2609,Aadhaar,Complete,2025-05-03
14021,2372,Aadhaar,Complete,2025-04-02
14022,2014,Aadhaar,Complete,2025-07-04
14023,1249,Aadhaar,Complete,2025-10-18
14024,2498,Aadhaar,Complete,2024-09-27
14025,2198,Aadhaar,Complete,2024-09-08
14026,2574,Voter ID,Pending,2025-03-23
14027,1669,Aadhaar,Complete,2026-05-28
14028,1304,Voter ID,Complete,2026-05-30
14029,2049,Aadhaar,Complete,2025-04-20
14030,1129,Aadhaar,Complete,2025-11-14
14031,1393,Aadhaar,Complete,2025-04-19
14032,2015,Aadhaar,Complete,2025-01-13
14033,1496,Aadhaar,Complete,2026-04-24
14034,1143,Driving License,Complete,2025-12-14
14035,2695,Aadhaar,Complete,2025-12-29
14036,1495,Aadhaar,Complete,2025-07-29
14037,2719,Voter ID,Complete,2025-02-20
14038,2692,Aadhaar,Complete,2024-11-01
14039,1069,Aadhaar,Complete,2025-01-19
14040,1035,Aadhaar,Complete,2025-09-13
14041,1139,Aadhaar,Expired,2026-03-20
14042,1067,Driving License,Complete,2025-05-06
14043,1816,Aadhaar,Expired,2026-05-01
14044,2348,Voter ID,Complete,2025-05-15
14045,2196,Aadhaar,Complete,2024-11-08
14046,1764,Aadhaar,Complete,2024-08-28
14047,2212,Aadhaar,Complete,2025-06-26
14048,2074,Passport,Complete,2025-08-19
14049,1004,Aadhaar,Expired,2025-07-14
14050,2794,Aadhaar,Complete,2025-04-29
14051,2245,Voter ID,Complete,2026-05-30
14052,1095,Aadhaar,Complete,2025-07-31
14053,1751,Aadhaar,Complete,2025-01-05
14054,1512,Aadhaar,Complete,2026-04-06
14055,1912,Voter ID,Complete,2025-01-19
14056,1235,Aadhaar,Complete,2024-10-19
14057,1482,Aadhaar,Complete,2025-10-03
14058,1591,Aadhaar,Complete,2024-10-19
