site_id,latitude,longitude,technology,status
9001,22.198150,74.424810,5G,Operational
9002,18.325000,78.637970,5G,Operational
9003,20.356670,77.026749,4G,Operational
9004,9.333983,73.966120,5G,Operational
9005,29.511296,75.072000,4G,Operational
9006,32.578483,92.964312,4G,Operational
9007,9.550539,81.557402,4G,Operational
9008,17.657227,87.133610,3G,Operational
9009,34.539297,69.588403,3G,Operational
9010,24.929141,96.137836,5G,Operational
9011,10.686605,91.623723,3G,Operational
9012,21.972858,90.270818,4G,Operational
9013,26.286888,88.181445,5G,Operational
9014,30.041711,69.758247,2G,Operational
9015,25.625656,71.964118,4G,Operational
9016,8.256855,74.879331,4G,Operational
9017,29.912586,96.583824,4G,Operational
9018,26.222483,73.288047,4G,Operational
9019,16.927416,78.529630,5G,Operational
9020,13.381192,96.995028,4G,Operational
9021,32.621027,72.974209,4G,Operational
9022,20.543965,79.980634,5G,Operational
9023,10.232048,90.147844,4G,Operational
9024,31.699523,79.722036,5G,Operational
9025,23.149818,83.262558,5G,Operational
9026,32.562471,78.723176,3G,Operational
9027,14.071705,88.538275,4G,Operational
9028,24.103444,86.674698,5G,Operational
9029,16.661692,96.409431,5G,Operational
9030,19.322797,76.285596,4G,Operational
9031,27.553196,70.015074,4G,Operational
9032,23.583315,70.479326,4G,Operational
9033,26.882401,69.304969,5G,Operational
9034,17.708147,90.765542,4G,Operational
9035,14.392965,88.768353,3G,Operational
9036,12.870749,75.512535,2G,Operational
9037,15.666089,87.633285,5G,Operational
9038,30.483162,90.719953,4G,Operational
9039,24.514973,86.807175,4G,Operational
9040,32.004569,86.096536,4G,Outage
9041,28.001415,73.866972,4G,Operational
9042,12.358830,89.885452,5G,Operational
9043,17.239309,92.746316,2G,Operational
9044,31.664700,79.617194,4G,Operational
9045,13.893556,87.457007,4G,Operational
9046,33.859309,88.611432,5G,Operational
9047,25.231852,72.982026,4G,Operational
9048,14.292290,84.814504,4G,Operational
9049,31.891222,82.089327,4G,Outage
9050,34.713564,96.037405,3G,Operational
9051,19.036871,92.223058,5G,Operational
9052,13.048611,78.033412,5G,Operational
9053,34.267748,96.418834,3G,Operational
9054,26.354223,92.856739,3G,Operational
9055,24.594490,94.019378,5G,Outage
9056,30.949172,69.857725,4G,Operational
9057,30.433249,86.485227,5G,Operational
9058,32.402707,74.896125,4G,Operational
9059,20.445410,81.317709,2G,Operational
9060,13.418057,84.418575,5G,Operational
9061,31.053400,71.501545,4G,Operational
9062,14.234935,75.413647,4G,Operational
9063,25.041008,95.969269,5G,Operational
9064,18.859542,71.902211,4G,Operational
9065,22.124027,81.288019,4G,Operational
9066,27.222474,84.120030,5G,Operational
9067,26.207342,74.632905,4G,Operational
9068,10.563310,81.400397,5G,Operational
9069,10.978138,86.137945,4G,Operational
9070,25.525019,77.724360,5G,Operational
9071,25.946293,89.474700,5G,Operational
9072,9.325980,72.502788,4G,Operational
9073,21.350756,94.032342,4G,Operational
9074,16.158949,92.406889,5G,Operational
9075,31.047266,78.690947,5G,Outage
9076,13.718289,95.478972,5G,Operational
9077,22.965584,81.046017,4G,Operational
9078,14.029498,74.680661,3G,Operational
9079,17.725576,68.871548,4G,Operational
9080,19.763873,95.231691,4G,Operational
9081,19.539835,90.608231,4G,Operational
9082,26.432378,93.026737,3G,Operational
9083,12.873903,92.999784,3G,Operational
9084,17.603388,76.003977,4G,Operational
9085,25.543120,72.531481,4G,Operational
9086,28.377316,86.869251,4G,Operational
9087,20.380915,72.822573,4G,Operational
9088,11.393536,79.306732,4G,Operational
9089,19.062148,82.803863,4G,Operational
9090,23.134599,91.755366,5G,Operational
9091,31.532409,76.094468,4G,Operational
9092,14.529214,79.889533,3G,Operational
9093,9.162028,72.778255,4G,Operational
9094,19.198006,96.927659,4G,Operational
9095,22.400002,92.524817,4G,Operational
9096,15.518656,79.419971,5G,Operational
9097,22.647655,70.935900,4G,Operational
9098,9.294576,80.167183,4G,Operational
9099,22.453477,93.248718,3G,Operational
9100,32.230195,72.210099,5G,Operational
9101,22.208245,94.289857,4G,Operational
9102,28.953669,88.694914,5G,Operational
9103,23.495740,70.358916,4G,Operational
9104,32.247199,80.286164,5G,Operational
9105,13.092227,90.206542,5G,Operational
9106,22.351444,91.197498,3G,Operational
9107,34.681884,93.565197,4G,Operational
9108,22.987867,89.726203,4G,Operational
9109,17.688340,77.880582,4G,Operational
9110,17.572219,95.538636,5G,Operational
9111,33.324011,90.660001,4G,Operational
9112,13.207873,71.954795,5G,Operational
9113,21.763280,75.092907,4G,Operational
9114,24.441400,69.842791,4G,Operational
9115,24.964866,72.727974,2G,Operational
9116,29.090770,68.095515,5G,Operational
9117,21.106928,96.763498,4G,Operational
9118,14.043108,68.389792,4G,Operational
9119,27.768577,86.358080,3G,Operational
9120,16.324038,72.858858,4G,Operational
9121,18.338799,80.127280,4G,Operational
9122,20.064560,81.237626,5G,Operational
9123,20.330274,89.563929,4G,Operational
9124,32.724929,95.688681,4G,Operational
9125,12.350076,90.134210,4G,Operational
9126,20.055451,77.704364,4G,Operational
9127,11.249611,86.533865,4G,Operational
9128,22.244015,93.598266,5G,Operational
9129,13.568580,95.535513,5G,Operational
9130,22.221643,74.270655,5G,Operational
9131,23.357386,69.845680,5G,Operational
9132,20.656963,86.209688,4G,Operational
9133,24.169001,70.465315,4G,Operational
9134,27.793057,75.998000,4G,Operational
9135,17.375595,72.786455,4G,Operational
9136,14.718550,91.359087,5G,Operational
9137,11.966604,80.015844,4G,Operational
9138,12.398088,90.618790,5G,Operational
9139,28.549302,89.109871,5G,Operational
9140,20.459159,84.733144,4G,Operational
9141,21.353688,88.154252,5G,Operational
9142,34.268282,87.739871,3G,Operational
9143,28.492465,93.404758,4G,Operational
9144,21.462390,87.421151,5G,Operational
9145,22.869892,80.710550,4G,Operational
9146,17.677856,72.369362,5G,Operational
9147,9.355370,75.988055,5G,Operational
9148,26.622041,92.803907,5G,Operational
9149,18.517532,69.687649,4G,Operational
9150,32.541849,89.370275,5G,Operational
9151,14.279194,72.218745,4G,Outage
