offer_id,offer_name,discount_percent,valid_from,valid_to
23001,Back to School Offer,20,2025-07-04,2025-07-24
23002,Mid-Year Mega Sale,30,2026-05-13,2026-06-07
23003,Republic Day Offer,20,2025-12-07,2025-12-17
23004,Republic Day Offer v2,20,2026-05-20,2026-06-16
23005,Corporate Bulk Offer,20,2025-08-11,2025-09-03
23006,Student Special Offer,50,2026-05-15,2026-06-08
23007,Anniversary Special,50,2026-05-08,2026-06-04
23008,Diwali Bonus Plan,30,2026-10-06,2026-10-16
23009,Summer Data Fest,10,2026-04-12,2026-05-07
23010,Christmas Mega Offer,5,2026-05-10,2026-05-22
23011,Long Weekend Special,5,2026-09-14,2026-09-30
23012,Summer Data Fest v2,50,2025-11-10,2025-11-17
23013,New Year Special,20,2026-04-02,2026-04-15
23014,Festive Cashback,5,2026-01-06,2026-02-05
23015,Diwali Bonus Plan v2,5,2025-11-20,2025-12-15
23016,Christmas Mega Offer v2,30,2025-02-07,2025-02-16
23017,5G Launch Offer,30,2026-06-12,2026-06-30
23018,Mid-Year Mega Sale v2,30,2026-03-01,2026-03-13
23019,Summer Data Fest v3,20,2025-05-06,2025-06-04
23020,Holi Data Blast,40,2026-06-14,2026-06-27
23021,5G Launch Offer v2,25,2026-02-05,2026-02-13
