order_id,customer_id,order_type,order_date,status,amount
16001,2721,New Connection,2026-04-28 15:00:00,Fulfilled,968.57
16002,2774,SIM Replacement,2026-06-24 11:00:00,Fulfilled,526.38
16003,1798,Plan Upgrade Order,2026-01-23 11:00:00,Fulfilled,62.93
16004,2521,Device Purchase,2025-12-03 18:00:00,Fulfilled,833.74
16005,1114,SIM Replacement,2026-02-20 04:00:00,Fulfilled,233.22
16006,2195,Device Purchase,2025-09-20 04:00:00,Cancelled,375.33
16007,1262,Device Purchase,2026-06-12 22:00:00,Pending,879.79
16008,1022,SIM Replacement,2026-03-21 06:00:00,Fulfilled,432.75
16009,2181,New Connection,2026-03-25 22:00:00,Fulfilled,372.19
16010,1562,Device Purchase,2026-01-19 04:00:00,Fulfilled,646.60
16011,2686,Number Port Order,2025-08-31 12:00:00,Fulfilled,812.02
16012,1246,Device Purchase,2025-08-22 12:00:00,Fulfilled,644.86
16013,1629,SIM Replacement,2026-05-02 23:00:00,Fulfilled,941.83
16014,1873,Number Port Order,2025-09-02 22:00:00,Fulfilled,273.61
16015,2700,SIM Replacement,2026-07-13 11:00:00,Fulfilled,735.31
16016,2364,Device Purchase,2026-07-24 14:00:00,Fulfilled,49.37
16017,2270,Plan Upgrade Order,2026-01-19 05:00:00,Fulfilled,349.35
16018,2390,Device Purchase,2025-08-23 23:00:00,Fulfilled,918.62
16019,1491,Plan Upgrade Order,2026-06-14 22:00:00,Fulfilled,160.77
16020,2562,Device Purchase,2026-02-01 04:00:00,Fulfilled,363.35
16021,1082,Device Purchase,2026-02-19 09:00:00,Cancelled,454.04
16022,1002,Number Port Order,2026-05-07 10:00:00,Fulfilled,55.80
16023,1692,Device Purchase,2026-01-06 04:00:00,Cancelled,847.90
16024,1820,SIM Replacement,2025-11-11 06:00:00,Fulfilled,926.76
16025,1454,Plan Upgrade Order,2025-08-11 13:00:00,Cancelled,152.41
16026,1557,Plan Upgrade Order,2026-05-24 00:00:00,Pending,96.37
16027,2348,Plan Upgrade Order,2025-08-22 19:00:00,Fulfilled,982.07
16028,2007,Plan Upgrade Order,2026-06-28 11:00:00,Fulfilled,635.03
16029,1079,SIM Replacement,2026-06-06 23:00:00,Fulfilled,326.36
16030,1241,New Connection,2026-03-17 09:00:00,Fulfilled,479.24
16031,1186,Device Purchase,2026-03-13 21:00:00,Fulfilled,75.39
16032,1428,SIM Replacement,2026-06-26 03:00:00,Fulfilled,998.42
16033,1852,Device Purchase,2025-09-13 13:00:00,Pending,714.15
16034,1203,Plan Upgrade Order,2026-06-06 03:00:00,Cancelled,330.57
16035,2099,Plan Upgrade Order,2026-05-09 01:00:00,Cancelled,370.31
16036,2138,New Connection,2026-01-08 01:00:00,Cancelled,666.31
16037,1789,Plan Upgrade Order,2026-07-04 17:00:00,Fulfilled,423.40
16038,1487,Device Purchase,2026-01-31 15:00:00,Fulfilled,351.32
16039,1242,Plan Upgrade Order,2026-02-23 13:00:00,Fulfilled,484.09
16040,1275,Plan Upgrade Order,2025-11-24 06:00:00,Fulfilled,176.21
16041,2804,New Connection,2026-03-30 16:00:00,Fulfilled,360.19
16042,1876,SIM Replacement,2025-11-08 03:00:00,Cancelled,157.50
16043,1149,SIM Replacement,2026-02-05 03:00:00,Fulfilled,410.69
16044,1869,Device Purchase,2026-04-06 14:00:00,Fulfilled,906.25
16045,1486,New Connection,2026-07-02 01:00:00,Fulfilled,703.19
16046,2740,SIM Replacement,2025-11-21 00:00:00,Fulfilled,381.45
16047,2503,Device Purchase,2026-05-16 00:00:00,Fulfilled,882.84
16048,2412,Number Port Order,2025-11-07 17:00:00,Cancelled,366.85
16049,2710,Plan Upgrade Order,2025-09-23 20:00:00,Fulfilled,638.84
16050,1488,New Connection,2026-03-13 17:00:00,Pending,375.36
16051,1790,Plan Upgrade Order,2026-07-11 12:00:00,Fulfilled,325.34
16052,2506,New Connection,2026-01-05 15:00:00,Fulfilled,215.72
16053,2121,Plan Upgrade Order,2026-05-24 19:00:00,Fulfilled,164.45
16054,2484,Number Port Order,2025-11-25 23:00:00,Fulfilled,97.23
16055,2134,Device Purchase,2026-07-24 18:00:00,Fulfilled,31.06
16056,1353,Plan Upgrade Order,2025-09-22 21:00:00,Fulfilled,920.03
16057,2346,Number Port Order,2026-03-03 03:00:00,Fulfilled,464.13
16058,2734,Number Port Order,2025-09-08 17:00:00,Fulfilled,315.65
16059,1747,Plan Upgrade Order,2026-03-26 09:00:00,Cancelled,193.06
16060,1855,Plan Upgrade Order,2025-09-15 22:00:00,Fulfilled,223.08
16061,1354,New Connection,2026-02-17 06:00:00,Fulfilled,151.73
16062,1569,New Connection,2026-06-04 16:00:00,Cancelled,257.16
16063,1052,SIM Replacement,2026-01-12 16:00:00,Fulfilled,564.99
16064,1540,Plan Upgrade Order,2025-10-25 00:00:00,Fulfilled,737.55
16065,2011,SIM Replacement,2025-11-15 05:00:00,Fulfilled,556.70
16066,1757,Plan Upgrade Order,2026-02-27 02:00:00,Fulfilled,332.44
16067,1882,Plan Upgrade Order,2025-10-30 02:00:00,Fulfilled,807.91
16068,1363,Number Port Order,2026-07-25 02:00:00,Fulfilled,487.24
16069,2384,Plan Upgrade Order,2026-07-18 11:00:00,Cancelled,952.21
16070,2280,New Connection,2026-06-27 23:00:00,Pending,140.56
16071,1480,New Connection,2026-03-11 01:00:00,Fulfilled,171.13
16072,2263,SIM Replacement,2025-08-28 00:00:00,Fulfilled,583.31
16073,1618,Device Purchase,2026-01-20 14:00:00,Fulfilled,915.20
16074,2257,Number Port Order,2026-01-24 18:00:00,Cancelled,765.55
16075,1697,Number Port Order,2025-11-23 17:00:00,Fulfilled,589.52
16076,1219,SIM Replacement,2026-04-18 20:00:00,Pending,719.44
16077,1756,New Connection,2025-12-16 01:00:00,Fulfilled,484.80
16078,2805,Device Purchase,2026-04-05 02:00:00,Fulfilled,21.43
16079,2509,New Connection,2025-08-26 12:00:00,Fulfilled,362.92
16080,1373,Number Port Order,2026-06-25 22:00:00,Fulfilled,974.78
16081,2546,Device Purchase,2025-09-02 07:00:00,Fulfilled,502.08
16082,1265,Number Port Order,2025-12-02 09:00:00,Fulfilled,685.13
16083,1753,SIM Replacement,2025-09-23 20:00:00,Fulfilled,792.04
16084,1750,New Connection,2025-12-19 07:00:00,Fulfilled,28.34
16085,2491,New Connection,2025-10-13 19:00:00,Fulfilled,289.34
16086,1525,Device Purchase,2026-05-01 08:00:00,Pending,286.23
16087,1177,Number Port Order,2026-02-07 18:00:00,Fulfilled,361.39
16088,1042,Plan Upgrade Order,2026-04-02 20:00:00,Pending,550.61
16089,1924,SIM Replacement,2025-10-19 00:00:00,Fulfilled,131.72
16090,2407,Plan Upgrade Order,2025-11-23 03:00:00,Fulfilled,944.05
16091,1543,Plan Upgrade Order,2026-03-17 20:00:00,Fulfilled,407.65
16092,1187,Number Port Order,2025-09-17 15:00:00,Fulfilled,777.33
16093,2453,SIM Replacement,2026-05-27 13:00:00,Fulfilled,979.58
16094,1074,Number Port Order,2026-07-26 11:00:00,Fulfilled,67.64
16095,1760,Number Port Order,2026-02-02 10:00:00,Pending,426.41
16096,1643,Device Purchase,2026-04-26 01:00:00,Cancelled,80.48
16097,1514,Number Port Order,2026-04-07 17:00:00,Pending,852.89
16098,1950,New Connection,2026-01-14 22:00:00,Pending,337.49
16099,2732,Device Purchase,2026-01-31 13:00:00,Fulfilled,761.85
16100,1886,Number Port Order,2025-10-04 13:00:00,Fulfilled,493.09
16101,1236,Plan Upgrade Order,2025-11-06 08:00:00,Fulfilled,357.81
16102,2259,Plan Upgrade Order,2025-12-14 17:00:00,Fulfilled,457.80
