ott_id,customer_id,service_name,start_date,end_date
22001,1527,Netflix,2026-01-02,2027-01-02
22002,2730,Amazon Prime,2025-04-08,2026-04-08
22003,1614,Netflix,2026-03-18,2027-03-18
22004,1575,Netflix,2024-09-23,2025-09-23
22005,1693,Zee5,2025-03-04,2026-03-04
22006,2437,JioCinema,2025-12-19,2026-12-19
22007,1964,JioCinema,2025-10-15,2026-10-15
22008,1602,JioCinema,2024-09-17,2025-09-17
22009,2094,Zee5,2025-04-04,2026-04-04
22010,2629,SonyLIV,2025-07-10,2026-07-10
22011,2093,SonyLIV,2026-02-17,2027-02-17
22012,2321,Apple TV+,2026-04-12,2027-04-12
22013,1718,Apple TV+,2026-07-09,2027-07-09
22014,1124,Netflix,2026-06-11,2027-06-11
22015,1834,Amazon Prime,2025-02-20,2026-02-20
22016,2679,Netflix,2025-03-08,2026-03-08
22017,2727,Disney+ Hotstar,2025-09-27,2026-09-27
22018,2252,Netflix,2024-11-08,2025-11-08
22019,1829,Apple TV+,2025-04-12,2026-04-12
22020,2216,Amazon Prime,2026-02-10,2027-02-10
22021,2097,Netflix,2026-02-24,2027-02-24
22022,2330,SonyLIV,2026-04-25,2027-04-25
22023,2479,SonyLIV,2025-07-26,2026-07-26
22024,1204,Netflix,2024-11-05,2025-11-05
22025,2529,Amazon Prime,2026-06-17,2027-06-17
22026,2724,SonyLIV,2025-03-17,2026-03-17
22027,1683,Amazon Prime,2026-06-07,2027-06-07
22028,2130,Zee5,2026-08-02,2027-08-02
22029,1936,JioCinema,2024-10-21,2025-10-21
22030,1511,Amazon Prime,2024-11-11,2025-11-11
22031,1249,SonyLIV,2026-05-02,2027-05-02
22032,1041,Disney+ Hotstar,2025-06-16,2026-06-16
22033,1607,Disney+ Hotstar,2026-01-05,2027-01-05
22034,2806,Apple TV+,2025-02-14,2026-02-14
22035,1295,JioCinema,2026-03-22,2027-03-22
22036,1437,Netflix,2024-10-28,2025-10-28
22037,1250,Amazon Prime,2025-05-31,2026-05-31
22038,2563,Zee5,2024-12-07,2025-12-07
22039,1884,JioCinema,2024-12-24,2025-12-24
22040,2580,SonyLIV,2025-10-08,2026-10-08
22041,2615,JioCinema,2025-12-09,2026-12-09
22042,2756,JioCinema,2026-06-24,2027-06-24
22043,2077,Amazon Prime,2026-04-12,2027-04-12
22044,2592,Amazon Prime,2026-06-18,2027-06-18
22045,1555,JioCinema,2025-03-03,2026-03-03
22046,2481,SonyLIV,2025-12-20,2026-12-20
22047,2520,Netflix,2025-03-12,2026-03-12
22048,1109,JioCinema,2025-04-23,2026-04-23
22049,1783,Amazon Prime,2026-02-24,2027-02-24
22050,2807,Disney+ Hotstar,2025-11-06,2026-11-06
22051,2631,Apple TV+,2026-06-24,2027-06-24
22052,1597,Disney+ Hotstar,2026-07-02,2027-07-02
22053,2685,SonyLIV,2025-07-23,2026-07-23
22054,1639,SonyLIV,2025-02-11,2026-02-11
22055,1506,Apple TV+,2025-05-24,2026-05-24
22056,1750,Zee5,2026-01-28,2027-01-28
22057,1380,Apple TV+,2025-10-06,2026-10-06
22058,2134,Netflix,2025-08-28,2026-08-28
22059,1148,Apple TV+,2026-06-23,2027-06-23
22060,1772,Netflix,2025-11-30,2026-11-30
22061,2497,Zee5,2026-02-13,2027-02-13
22062,2645,Netflix,2024-10-29,2025-10-29
22063,2648,Disney+ Hotstar,2025-04-29,2026-04-29
22064,2444,Apple TV+,2026-03-14,2027-03-14
22065,2190,Amazon Prime,2026-02-18,2027-02-18
22066,1877,Disney+ Hotstar,2026-07-11,2027-07-11
22067,1825,SonyLIV,2024-12-26,2025-12-26
22068,1764,SonyLIV,2025-12-20,2026-12-20
22069,1572,Disney+ Hotstar,2026-05-17,2027-05-17
22070,1017,Apple TV+,2026-01-31,2027-01-31
22071,1322,JioCinema,2026-02-03,2027-02-03
22072,1350,Apple TV+,2026-01-31,2027-01-31
22073,2249,Apple TV+,2024-11-07,2025-11-07
22074,2388,SonyLIV,2026-07-04,2027-07-04
22075,1647,Disney+ Hotstar,2025-03-26,2026-03-26
22076,1858,JioCinema,2026-02-02,2027-02-02
22077,2322,SonyLIV,2025-12-08,2026-12-08
22078,1022,Zee5,2026-01-27,2027-01-27
22079,2070,Apple TV+,2025-09-10,2026-09-10
22080,2574,Netflix,2026-07-22,2027-07-22
22081,2665,Disney+ Hotstar,2026-04-26,2027-04-26
22082,2279,Zee5,2025-08-22,2026-08-22
22083,1692,Amazon Prime,2025-06-06,2026-06-06
22084,2270,Apple TV+,2025-08-21,2026-08-21
22085,1580,JioCinema,2026-04-02,2027-04-02
22086,2310,Amazon Prime,2025-02-03,2026-02-03
22087,1141,SonyLIV,2024-11-02,2025-11-02
22088,1675,Amazon Prime,2025-10-29,2026-10-29
22089,1805,Amazon Prime,2026-07-17,2027-07-17
22090,2688,JioCinema,2025-08-12,2026-08-12
22091,2125,SonyLIV,2026-01-21,2027-01-21
22092,2036,Netflix,2025-12-13,2026-12-13
22093,2168,Netflix,2025-02-05,2026-02-05
22094,1231,JioCinema,2024-10-15,2025-10-15
22095,2059,Apple TV+,2026-07-19,2027-07-19
22096,1917,Amazon Prime,2025-04-16,2026-04-16
22097,1169,Apple TV+,2024-12-26,2025-12-26
22098,2308,Zee5,2025-02-24,2026-02-24
22099,2385,Apple TV+,2025-10-22,2026-10-22
22100,1800,Netflix,2026-01-01,2027-01-01
22101,1695,Apple TV+,2024-09-15,2025-09-15
22102,1513,Apple TV+,2026-04-01,2027-04-01
22103,1992,Apple TV+,2024-10-23,2025-10-23
22104,1468,Disney+ Hotstar,2025-03-26,2026-03-26
22105,2137,Zee5,2026-03-09,2027-03-09
22106,2092,Amazon Prime,2025-09-07,2026-09-07
22107,1288,Netflix,2025-02-09,2026-02-09
22108,2329,JioCinema,2025-12-25,2026-12-25
22109,2022,Zee5,2024-11-18,2025-11-18
22110,2042,JioCinema,2025-06-11,2026-06-11
22111,2596,Amazon Prime,2025-01-04,2026-01-04
22112,2712,Netflix,2025-03-25,2026-03-25
22113,1244,Disney+ Hotstar,2024-12-27,2025-12-27
22114,2435,SonyLIV,2025-11-07,2026-11-07
22115,1536,Disney+ Hotstar,2025-04-15,2026-04-15
22116,2767,JioCinema,2025-09-09,2026-09-09
22117,1784,SonyLIV,2026-03-24,2027-03-24
22118,1011,Netflix,2026-05-08,2027-05-08
22119,2652,Netflix,2026-02-03,2027-02-03
22120,1371,Netflix,2025-12-18,2026-12-18
22121,1687,Disney+ Hotstar,2024-11-08,2025-11-08
22122,2776,Apple TV+,2024-10-27,2025-10-27
22123,2661,JioCinema,2025-03-15,2026-03-15
22124,1044,Disney+ Hotstar,2024-11-11,2025-11-11
22125,1567,Netflix,2025-07-25,2026-07-25
22126,1193,Zee5,2025-10-15,2026-10-15
22127,2482,Netflix,2025-05-01,2026-05-01
22128,2019,JioCinema,2025-04-11,2026-04-11
22129,1147,Netflix,2025-02-25,2026-02-25
22130,2781,Netflix,2024-10-05,2025-10-05
22131,1996,JioCinema,2024-11-17,2025-11-17
22132,1426,Apple TV+,2025-11-25,2026-11-25
22133,2779,Zee5,2026-07-26,2027-07-26
22134,2118,SonyLIV,2025-07-06,2026-07-06
22135,1804,SonyLIV,2025-09-26,2026-09-26
22136,1358,Disney+ Hotstar,2025-03-30,2026-03-30
22137,2422,Netflix,2026-07-21,2027-07-21
22138,1230,Zee5,2025-04-19,2026-04-19
22139,1090,SonyLIV,2025-04-01,2026-04-01
22140,2483,Netflix,2024-11-24,2025-11-24
22141,2373,JioCinema,2026-03-09,2027-03-09
22142,2060,Zee5,2025-04-30,2026-04-30
22143,1537,SonyLIV,2025-11-03,2026-11-03
22144,1116,JioCinema,2025-06-30,2026-06-30
22145,2587,Zee5,2025-03-15,2026-03-15
22146,1987,SonyLIV,2025-10-06,2026-10-06
22147,1678,Zee5,2024-12-04,2025-12-04
22148,1002,Netflix,2024-10-14,2025-10-14
22149,2556,SonyLIV,2026-02-12,2027-02-12
22150,2701,Amazon Prime,2025-12-03,2026-12-03
22151,2113,JioCinema,2025-06-27,2026-06-27
22152,1272,SonyLIV,2026-03-07,2027-03-07
22153,1167,Amazon Prime,2025-04-11,2026-04-11
22154,1907,Amazon Prime,2025-03-11,2026-03-11
22155,1023,Netflix,2025-06-20,2026-06-20
22156,1976,Apple TV+,2025-09-22,2026-09-22
22157,2033,Zee5,2025-05-21,2026-05-21
22158,1389,Amazon Prime,2025-12-16,2026-12-16
22159,2314,Apple TV+,2026-03-31,2027-03-31
22160,2110,Disney+ Hotstar,2024-09-08,2025-09-08
22161,1769,JioCinema,2025-03-22,2026-03-22
22162,1132,JioCinema,2026-07-14,2027-07-14
22163,2504,Disney+ Hotstar,2025-02-17,2026-02-17
22164,2144,Disney+ Hotstar,2026-06-17,2027-06-17
22165,1902,JioCinema,2026-07-29,2027-07-29
22166,2691,Netflix,2024-10-16,2025-10-16
22167,1242,SonyLIV,2024-11-12,2025-11-12
22168,2286,Zee5,2025-12-03,2026-12-03
22169,1382,Apple TV+,2025-09-17,2026-09-17
22170,1269,Apple TV+,2025-09-22,2026-09-22
22171,2401,SonyLIV,2024-12-30,2025-12-30
