port_id,customer_id,old_circle,new_circle,request_date,status
15001,1691,Rajasthan,UP West,2026-03-06,Accepted
15002,1466,Kerala,Haryana,2025-08-14,Rejected
15003,1426,Punjab,Gujarat,2025-11-08,Rejected
15004,1609,Chennai,Maharashtra,2026-01-12,Accepted
15005,2613,UP East,UP West,2026-02-01,Accepted
15006,2260,Odisha,Punjab,2025-11-03,Accepted
15007,2523,MP,Maharashtra,2026-05-11,Pending
15008,2062,Punjab,MP,2025-11-04,Rejected
15009,1387,Kolkata,Punjab,2025-12-27,Accepted
15010,2561,Assam,Kerala,2025-12-23,Accepted
15011,1437,Maharashtra,MP,2026-01-01,Accepted
15012,2250,UP West,Punjab,2026-05-07,Rejected
15013,1991,Delhi,Andhra Pradesh,2025-11-14,Accepted
15014,2428,MP,Haryana,2025-10-21,Pending
15015,2437,Maharashtra,Tamil Nadu,2025-11-07,Pending
15016,2340,Bihar,Gujarat,2025-12-19,Accepted
15017,2758,West Bengal,Karnataka,2026-03-28,Accepted
15018,2276,Odisha,Tamil Nadu,2026-08-07,Pending
15019,2715,Assam,Odisha,2025-08-29,Accepted
15020,2392,Kolkata,Delhi,2025-11-16,Pending
15021,2039,Assam,Haryana,2025-11-26,Accepted
15022,1742,Kolkata,Kerala,2025-09-07,Accepted
15023,2244,West Bengal,Odisha,2025-09-20,Accepted
15024,1410,Tamil Nadu,Mumbai,2025-10-09,Pending
15025,1289,Assam,Bihar,2026-08-06,Pending
15026,1572,Andhra Pradesh,Gujarat,2025-10-24,Pending
15027,1484,Karnataka,Rajasthan,2025-10-29,Accepted
15028,1934,Rajasthan,Bihar,2026-07-04,Pending
15029,2280,West Bengal,Maharashtra,2025-10-15,Accepted
15030,1128,Delhi,Assam,2025-11-11,Pending
15031,2781,Maharashtra,Mumbai,2025-12-20,Pending
15032,2608,Bihar,West Bengal,2025-11-29,Accepted
15033,1448,Tamil Nadu,Mumbai,2026-04-24,Rejected
15034,2510,Andhra Pradesh,Rajasthan,2026-01-15,Accepted
15035,2061,Kolkata,MP,2026-05-20,Pending
15036,2539,Delhi,Punjab,2026-05-15,Accepted
