roam_id,customer_id,country,start_date,end_date,voice_minutes,data_mb,sms_count
13001,1832,Malaysia,2025-12-03,2025-12-23,258,612,10
13002,1007,France,2026-06-21,2026-07-01,240,322,69
13003,2061,Qatar,2026-01-25,2026-02-11,177,1238,77
13004,1192,Singapore,2025-10-25,2025-10-28,111,471,40
13005,2397,Germany,2026-07-06,2026-07-12,47,1751,72
13006,2223,Germany,2026-04-10,2026-04-26,68,245,83
13007,1196,United Arab Emirates,2025-11-21,2025-11-23,85,1529,34
13008,1682,United Kingdom,2025-09-12,2025-09-26,230,1282,96
13009,1275,Japan,2026-03-19,2026-03-31,224,454,11
13010,1812,Australia,2025-08-23,2025-09-07,181,1440,97
13011,1205,Malaysia,2026-07-22,2026-07-27,104,288,43
13012,1044,Singapore,2026-05-13,2026-05-21,7,1742,4
13013,2344,Australia,2026-01-26,2026-02-12,281,356,95
13014,2368,Singapore,2025-10-21,2025-10-27,265,244,21
13015,2728,France,2026-07-15,2026-07-24,37,1418,88
13016,1984,Singapore,2026-05-26,2026-06-09,226,1358,23
13017,1186,Australia,2026-04-13,2026-04-15,194,270,50
13018,2090,Japan,2025-11-25,2025-11-29,70,450,71
13019,1016,Qatar,2025-12-18,2025-12-20,87,59,88
13020,1367,United Kingdom,2025-12-03,2025-12-14,225,56,73
13021,2351,France,2026-04-30,2026-05-08,131,1926,11
13022,2200,Qatar,2026-02-25,2026-03-05,104,1507,8
13023,2536,Saudi Arabia,2025-11-26,2025-11-27,90,767,68
13024,2357,United Kingdom,2025-08-29,2025-09-17,220,249,36
13025,1377,France,2026-02-13,2026-03-03,89,630,39
13026,1391,Singapore,2026-01-06,2026-01-07,249,771,67
13027,1290,Canada,2025-09-03,2025-09-14,278,1556,30
13028,2037,United Kingdom,2026-02-21,2026-02-25,221,1705,35
13029,2497,United Arab Emirates,2025-11-21,2025-11-27,257,1171,80
13030,1272,Germany,2025-12-25,2025-12-31,4,852,31
13031,1619,France,2025-12-04,2025-12-16,232,845,100
13032,1837,Japan,2026-03-28,2026-04-01,292,1483,63
13033,2526,France,2025-10-13,2025-10-21,221,230,22
13034,1547,Qatar,2025-09-01,2025-09-10,274,1916,22
13035,2140,United States,2026-03-11,2026-03-12,201,1255,23
13036,1094,Japan,2025-09-20,2025-09-22,42,1583,43
13037,1568,Canada,2026-06-14,2026-06-29,22,1174,58
13038,1696,Saudi Arabia,2025-09-27,2025-10-04,145,1178,3
13039,2672,United Arab Emirates,2025-10-28,2025-11-16,250,1519,29
13040,2119,France,2025-12-14,2026-01-03,295,1703,87
13041,2211,Australia,2025-10-10,2025-10-20,49,91,24
13042,1427,Japan,2026-07-21,2026-08-03,35,1600,48
13043,1153,Qatar,2026-02-06,2026-02-08,113,1683,6
13044,1108,France,2026-05-13,2026-05-30,7,1663,24
13045,1558,Thailand,2025-12-24,2026-01-01,125,1848,26
13046,1193,Australia,2026-06-10,2026-06-28,278,586,61
13047,1871,Qatar,2026-04-21,2026-04-28,124,361,23
13048,1903,United Arab Emirates,2026-01-07,2026-01-10,255,1567,92
13049,2561,France,2025-11-08,2025-11-19,250,1130,77
13050,1880,Australia,2025-12-15,2026-01-01,165,1738,55
13051,2234,Qatar,2025-11-03,2025-11-07,141,1988,17
13052,1333,Australia,2026-07-08,2026-07-19,9,113,69
13053,2121,Japan,2025-12-12,2025-12-17,213,1307,67
13054,2744,France,2026-02-10,2026-02-14,80,665,77
13055,1793,Canada,2025-09-29,2025-10-05,73,64,14
13056,1226,Germany,2026-07-24,2026-08-11,146,985,38
13057,2039,United States,2025-10-30,2025-11-18,111,122,85
13058,2597,Germany,2026-05-12,2026-05-29,234,485,16
13059,1440,Thailand,2026-01-13,2026-01-21,86,591,18
13060,2700,Germany,2025-08-24,2025-08-26,150,1374,10
13061,2439,Singapore,2026-06-15,2026-06-27,135,573,99
13062,1607,United States,2025-12-10,2025-12-19,207,313,42
13063,1061,Qatar,2025-11-17,2025-11-23,193,596,80
