vas_id,customer_id,service_name,start_date,end_date
25001,2728,Call Waiting Plus,2026-07-28,2027-07-28
25002,2464,Mobile Insurance,2025-06-10,2026-06-10
25003,1406,International SMS Pack,2026-02-04,2027-02-04
25004,1482,Mobile Insurance,2026-05-08,2027-05-08
25005,1119,International SMS Pack,2025-08-08,2026-08-08
25006,1436,International SMS Pack,2025-12-09,2026-12-09
25007,1419,Data Rollover Add-on,2025-03-13,2026-03-13
25008,1969,Call Waiting Plus,2026-05-03,2027-05-03
25009,1322,Call Waiting Plus,2026-04-27,2027-04-27
25010,2019,Mobile Insurance,2025-12-11,2026-12-11
25011,1400,International SMS Pack,2025-02-08,2026-02-08
25012,2122,International SMS Pack,2026-01-20,2027-01-20
25013,2291,Mobile Insurance,2026-04-13,2027-04-13
25014,1716,Missed Call Alert Pro,2025-10-23,2026-10-23
25015,1718,Missed Call Alert Pro,2026-06-11,2027-06-11
25016,2579,International SMS Pack,2025-09-04,2026-09-04
25017,1705,Mobile Insurance,2026-05-25,2027-05-25
25018,1554,Missed Call Alert Pro,2026-07-13,2027-07-13
25019,1688,Data Rollover Add-on,2025-11-28,2026-11-28
25020,1926,Missed Call Alert Pro,2026-03-05,2027-03-05
25021,2759,Data Rollover Add-on,2025-10-07,2026-10-07
25022,1913,Mobile Insurance,2025-11-02,2026-11-02
25023,2531,International SMS Pack,2025-10-16,2026-10-16
25024,1355,Caller Tune,2025-07-06,2026-07-06
25025,2058,Call Waiting Plus,2024-11-16,2025-11-16
25026,2519,Data Rollover Add-on,2024-11-24,2025-11-24
25027,1749,Caller Tune,2025-11-24,2026-11-24
25028,2382,Caller Tune,2026-02-12,2027-02-12
25029,2430,Data Rollover Add-on,2026-04-27,2027-04-27
25030,1207,Mobile Insurance,2025-11-28,2026-11-28
25031,2168,Caller Tune,2024-10-08,2025-10-08
25032,1243,Mobile Insurance,2025-04-15,2026-04-15
25033,1428,Mobile Insurance,2024-10-21,2025-10-21
25034,2063,Call Waiting Plus,2026-05-07,2027-05-07
25035,2523,Data Rollover Add-on,2025-04-30,2026-04-30
25036,2553,International SMS Pack,2024-11-10,2025-11-10
25037,2438,Call Waiting Plus,2025-06-20,2026-06-20
25038,2705,Caller Tune,2025-07-16,2026-07-16
25039,1727,Missed Call Alert Pro,2025-09-20,2026-09-20
25040,2484,Caller Tune,2026-05-29,2027-05-29
25041,2031,Mobile Insurance,2024-09-18,2025-09-18
25042,2763,Caller Tune,2026-02-20,2027-02-20
25043,1354,Premium Voicemail,2025-07-24,2026-07-24
25044,1681,Data Rollover Add-on,2025-07-26,2026-07-26
25045,2060,Call Waiting Plus,2026-06-27,2027-06-27
25046,1733,Missed Call Alert Pro,2025-12-20,2026-12-20
25047,1102,Data Rollover Add-on,2025-04-02,2026-04-02
25048,1668,Premium Voicemail,2026-04-11,2027-04-11
25049,2115,International SMS Pack,2025-06-04,2026-06-04
25050,1936,International SMS Pack,2024-11-28,2025-11-28
25051,1831,Missed Call Alert Pro,2025-07-25,2026-07-25
25052,2269,Caller Tune,2025-02-08,2026-02-08
25053,1198,Call Waiting Plus,2026-04-27,2027-04-27
25054,2755,Mobile Insurance,2026-02-21,2027-02-21
25055,2420,Premium Voicemail,2024-11-19,2025-11-19
25056,2667,International SMS Pack,2026-07-22,2027-07-22
25057,2095,International SMS Pack,2026-05-14,2027-05-14
25058,1399,Mobile Insurance,2025-05-26,2026-05-26
25059,1208,Premium Voicemail,2025-10-30,2026-10-30
25060,2386,Data Rollover Add-on,2025-06-24,2026-06-24
25061,2326,Missed Call Alert Pro,2025-09-18,2026-09-18
25062,2560,Caller Tune,2024-10-17,2025-10-17
25063,1012,Data Rollover Add-on,2026-01-03,2027-01-03
25064,1729,Mobile Insurance,2025-04-02,2026-04-02
25065,1031,Caller Tune,2025-05-16,2026-05-16
25066,2476,Mobile Insurance,2025-09-24,2026-09-24
25067,1437,Call Waiting Plus,2025-11-21,2026-11-21
25068,1849,Mobile Insurance,2026-05-14,2027-05-14
25069,1678,Caller Tune,2026-04-11,2027-04-11
25070,1067,Missed Call Alert Pro,2024-10-02,2025-10-02
25071,2462,Premium Voicemail,2026-06-29,2027-06-29
25072,2345,Mobile Insurance,2025-03-11,2026-03-11
25073,1670,International SMS Pack,2025-05-01,2026-05-01
25074,2644,Data Rollover Add-on,2025-07-22,2026-07-22
25075,1282,Call Waiting Plus,2025-03-02,2026-03-02
25076,2171,Caller Tune,2026-08-03,2027-08-03
25077,1296,Mobile Insurance,2026-01-29,2027-01-29
25078,2777,Mobile Insurance,2026-01-25,2027-01-25
25079,2738,Call Waiting Plus,2025-04-06,2026-04-06
25080,1632,Missed Call Alert Pro,2026-05-13,2027-05-13
25081,2140,Call Waiting Plus,2025-07-22,2026-07-22
25082,1126,Call Waiting Plus,2025-05-06,2026-05-06
25083,2249,Mobile Insurance,2026-05-16,2027-05-16
25084,2336,Caller Tune,2024-10-19,2025-10-19
25085,2272,Mobile Insurance,2025-10-10,2026-10-10
25086,2271,Missed Call Alert Pro,2025-06-07,2026-06-07
25087,1866,Call Waiting Plus,2025-12-08,2026-12-08
25088,1026,Data Rollover Add-on,2024-09-12,2025-09-12
25089,2417,Caller Tune,2026-05-02,2027-05-02
25090,1940,International SMS Pack,2026-06-01,2027-06-01
25091,1899,Call Waiting Plus,2026-07-17,2027-07-17
25092,2027,Call Waiting Plus,2024-10-19,2025-10-19
25093,1014,Mobile Insurance,2025-02-26,2026-02-26
25094,1555,Data Rollover Add-on,2025-06-29,2026-06-29
25095,2322,International SMS Pack,2026-03-27,2027-03-27
25096,1149,Call Waiting Plus,2024-09-22,2025-09-22
25097,2635,Premium Voicemail,2026-03-12,2027-03-12
25098,1642,International SMS Pack,2024-10-02,2025-10-02
25099,1398,Call Waiting Plus,2025-09-09,2026-09-09
25100,1734,Missed Call Alert Pro,2026-02-17,2027-02-17
25101,1649,Mobile Insurance,2026-01-25,2027-01-25
25102,1627,Mobile Insurance,2024-10-22,2025-10-22
25103,2372,Call Waiting Plus,2024-12-26,2025-12-26
25104,1474,Call Waiting Plus,2026-01-02,2027-01-02
25105,2424,Missed Call Alert Pro,2025-10-24,2026-10-24
25106,1565,Premium Voicemail,2026-03-05,2027-03-05
25107,1763,Call Waiting Plus,2024-09-20,2025-09-20
25108,2452,Caller Tune,2025-03-06,2026-03-06
25109,2504,Data Rollover Add-on,2025-08-19,2026-08-19
25110,1191,Missed Call Alert Pro,2025-06-07,2026-06-07
25111,1247,Caller Tune,2026-03-20,2027-03-20
25112,2605,Call Waiting Plus,2026-02-24,2027-02-24
25113,2366,Missed Call Alert Pro,2025-08-25,2026-08-25
25114,2572,Caller Tune,2024-12-06,2025-12-06
25115,1699,Mobile Insurance,2025-09-17,2026-09-17
25116,1528,Missed Call Alert Pro,2025-01-21,2026-01-21
25117,2806,Call Waiting Plus,2026-07-17,2027-07-17
25118,2729,International SMS Pack,2025-08-09,2026-08-09
25119,1287,International SMS Pack,2026-02-14,2027-02-14
25120,2340,Mobile Insurance,2025-06-10,2026-06-10
25121,2747,Mobile Insurance,2024-12-26,2025-12-26
25122,2197,Call Waiting Plus,2024-12-25,2025-12-25
25123,1609,Mobile Insurance,2025-11-03,2026-11-03
25124,1885,Mobile Insurance,2026-01-02,2027-01-02
25125,1537,Mobile Insurance,2026-03-27,2027-03-27
25126,2376,Missed Call Alert Pro,2024-10-02,2025-10-02
25127,1401,Mobile Insurance,2026-06-28,2027-06-28
25128,1251,Data Rollover Add-on,2026-08-06,2027-08-06
25129,1064,Mobile Insurance,2026-07-02,2027-07-02
25130,1394,Caller Tune,2026-06-27,2027-06-27
25131,1413,Missed Call Alert Pro,2026-07-04,2027-07-04
25132,2177,Data Rollover Add-on,2025-11-26,2026-11-26
25133,1851,Call Waiting Plus,2025-04-13,2026-04-13
25134,2160,Premium Voicemail,2025-10-30,2026-10-30
25135,2591,Data Rollover Add-on,2025-03-16,2026-03-16
25136,1080,Premium Voicemail,2024-12-09,2025-12-09
25137,2292,Caller Tune,2025-11-06,2026-11-06
25138,1136,Call Waiting Plus,2026-03-20,2027-03-20
25139,2191,Call Waiting Plus,2025-04-03,2026-04-03
25140,1127,Data Rollover Add-on,2026-05-15,2027-05-15
25141,1206,Missed Call Alert Pro,2024-09-10,2025-09-10
25142,1618,Missed Call Alert Pro,2025-10-18,2026-10-18
25143,1272,Missed Call Alert Pro,2025-06-18,2026-06-18
25144,1858,Missed Call Alert Pro,2024-10-21,2025-10-21
25145,1504,International SMS Pack,2024-10-13,2025-10-13
25146,1200,Premium Voicemail,2026-04-15,2027-04-15
25147,1855,Caller Tune,2026-01-08,2027-01-08
25148,2209,Missed Call Alert Pro,2025-09-08,2026-09-08
25149,1086,Premium Voicemail,2026-02-14,2027-02-14
25150,1066,International SMS Pack,2026-04-08,2027-04-08
